ID,method,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,longMethod,longParam,messageChains,featureEnvy
2,com.puppycrawl.tools.checkstyle.checks.NeedBracesCheck:visitToken,1,5,0,1,0.18181818181818182,2,3,11,2,0.08476554602384567,0.0,0,0,0,0,0,0,0,0,1,0
2,com.puppycrawl.tools.checkstyle.gui.ParseTreeModel:getColumnCount,1,0,0,0,0.0,0,2,3,0,0.7629448175430298,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.NoWhitespaceBeforeCheckTest:setUp,0,1,0,0,0.0,0,2,3,0,0.18643006682395935,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.DetailAST:findFirstToken,27,3,0,1,0.36363636363636365,2,5,11,2,0.8404010534286499,0.35064343665913833,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.Utils:lengthMinusTrailingWhitespace,2,3,0,1,0.5454545454545454,2,5,11,2,0.5393650531768799,0.4444444444444444,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.EmptyForIteratorPadCheck:visitToken,1,9,0,1,0.13333333333333333,4,4,15,4,0.0019817487336695194,0.0,0,0,0,0,0,0,0,0,1,0
2,com.puppycrawl.tools.checkstyle.checks.IllegalImportCheck:IllegalImportCheck,0,1,0,0,0.5,0,1,4,0,0.9853688478469849,0.37499999999999994,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.FinalParametersCheckTest:testCtorToken,0,4,0,0,0.0,0,3,6,0,0.003148723393678665,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.CheckStyleTask:setPackageNamesFile,0,0,0,1,0.5,0,1,4,0,0.9822692275047302,0.894427190999916,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.InputSemantic:exHandlerTest,0,2,0,0,0.0,0,2,39,0,0.003458722960203886,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck:getMessageDispatcher,4,0,0,0,0.5,0,2,4,0,0.907328724861145,0.5773502691896257,0,0,0,0,0,0,0,0,0,0
