method,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy
com.puppycrawl.tools.checkstyle.gui.AbstractCellEditor:addCellEditorListener,2,2,16.0,8.0,8.0,0.0,0.0,0.0,16.0,8.0,8.0,0.0,2.0,0.0,0.0,0.5,0.125,0.0,false
com.puppycrawl.tools.checkstyle.gui.JTreeTable:getTree,4,2,18.0,7.0,4.5,0.0,0.0,0.0,18.0,7.0,4.5,0.0,2.0,0.0,0.0,0.5,0.1111111111111111,0.0,true
com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:setValueAt,2,2,20.0,10.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,4.0,0.0,0.0,0.5,0.1,0.0,false
com.puppycrawl.tools.checkstyle.Verifier:Verifier,2,2,2.0,1.0,1.0,116.0,58.0,58.0,-114.0,-57.0,-57.0,0.0,0.0,0.0,0.0,0.5,1.0,0.03389830508474576,true
com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:fireTreeNodesChanged,2,2,20.0,10.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,4.0,0.0,0.0,0.5,0.1,0.0,false
com.puppycrawl.tools.checkstyle.Verifier:reportEndTypeBlock,4,4,22.0,11.0,5.5,38.0,19.0,9.5,-16.0,-8.0,-4.0,0.0,2.0,0.0,0.0,0.25,0.09090909090909091,0.06666666666666667,false
com.puppycrawl.tools.checkstyle.Verifier:reportPackageName,4,4,12.0,6.0,3.0,8.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.2,true
com.puppycrawl.tools.checkstyle.Verifier:checkLCurly,9,2,102.0,47.0,11.333333333333334,116.0,58.0,12.88888888888889,-14.0,-11.0,-1.5555555555555554,0.0,0.0,0.0,0.0,0.5555555555555556,0.0392156862745098,0.05045871559633028,true
com.puppycrawl.tools.checkstyle.Verifier:checkImports,10,4,210.0,47.0,21.0,130.0,58.0,13.0,80.0,-11.0,8.0,0.0,6.0,-2.0,-2.0,0.3,0.009523809523809525,0.023529411764705882,true
com.puppycrawl.tools.checkstyle.Verifier:reportNeedBraces,6,2,112.0,47.0,18.666666666666668,138.0,58.0,23.0,-26.0,-11.0,-4.333333333333332,0.0,0.0,0.0,0.0,0.5,0.017857142857142856,0.016,true
com.puppycrawl.tools.checkstyle.OptionTest:OptionTest,2,2,28.0,14.0,14.0,0.0,0.0,0.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,false
com.puppycrawl.tools.checkstyle.Verifier:reportCComment,6,2,152.0,47.0,25.333333333333332,116.0,58.0,19.333333333333332,36.0,-11.0,6.0,0.0,0.0,0.0,0.0,0.5,0.013157894736842105,0.022388059701492536,true
com.puppycrawl.tools.checkstyle.Verifier:checkParamTags,6,2,96.0,47.0,16.0,116.0,58.0,19.333333333333332,-20.0,-11.0,-3.333333333333332,0.0,0.0,0.0,0.0,0.5,0.020833333333333332,0.02830188679245283,true
com.puppycrawl.tools.checkstyle.Verifier:verifyRCurly,14,2,118.0,47.0,8.428571428571429,122.0,58.0,8.714285714285714,-4.0,-11.0,-0.2857142857142847,0.0,8.0,0.0,0.0,0.5,0.05084745762711865,0.06666666666666667,true
com.puppycrawl.tools.checkstyle.OptionTest:testOperatorWrapOption,2,2,28.0,14.0,14.0,0.0,0.0,0.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,false
com.puppycrawl.tools.checkstyle.Verifier:reportInstantiation,10,4,204.0,48.0,20.4,166.0,58.0,16.6,38.0,-10.0,3.799999999999997,0.0,4.0,0.0,0.0,0.3,0.00980392156862745,0.016216216216216217,true
com.puppycrawl.tools.checkstyle.Verifier:verifyLongEll,8,2,108.0,47.0,13.5,118.0,58.0,14.75,-10.0,-11.0,-1.25,0.0,4.0,0.0,0.0,0.5,0.018518518518518517,0.02654867256637168,true
com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:getColumnClass,2,2,20.0,10.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,4.0,0.0,0.0,0.5,0.1,0.0,false
com.puppycrawl.tools.checkstyle.Verifier:verifyNoWSBefore,6,2,96.0,47.0,16.0,116.0,58.0,19.333333333333332,-20.0,-11.0,-3.333333333333332,0.0,0.0,0.0,0.0,0.5,0.020833333333333332,0.02830188679245283,true
com.puppycrawl.tools.checkstyle.Verifier:verifyLParen,16,2,150.0,47.0,9.375,136.0,58.0,8.5,14.0,-11.0,0.875,0.0,16.0,0.0,0.0,0.5,0.02666666666666667,0.055944055944055944,true
com.puppycrawl.tools.checkstyle.gui.AbstractCellEditor:getCellEditorValue,2,2,16.0,8.0,8.0,0.0,0.0,0.0,16.0,8.0,8.0,0.0,2.0,0.0,0.0,0.5,0.125,0.0,false
com.puppycrawl.tools.checkstyle.Verifier:reportTryBlock,2,2,32.0,16.0,16.0,20.0,10.0,10.0,12.0,6.0,6.0,0.0,14.0,4.0,4.0,0.5,0.0625,0.07692307692307693,false
