ID,method,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,featureEnvy,longParam,messageChains,longMethod,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy
4,com.puppycrawl.tools.checkstyle.whitespace.InputDoWhileWhitespaceAround:doWhileTest,0,0,0,1,0.0,1,2,7,0,0.8393792510032654,0.0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,false
4,com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooIfClass:conditionNoArg,2,0,0,0,0.0,0,2,3,0,0.5123844742774963,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
4,com.puppycrawl.tools.checkstyle.gui.JTreeTable:setLinePositionMap,1,0,0,1,0.0,0,1,3,0,0.2538225054740906,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,false
4,InputLabels.InputLabels:fooo11,0,0,0,0,0.0,1,2,4,1,0.9499829411506653,0.0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,true
4,com.puppycrawl.tools.checkstyle.design.InputVariableDeclarationUsageDistanceCheck:testMethod,0,1,0,0,0.0,1,3,12,1,0.40749359130859375,0.0,0,0,0,0,0,0,0,0,0,0,1,1,12.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,1.0,0.0,0.0,1.0,0.08333333333333333,0.0,true
4,InputLabels.InputLabels:fooo12,0,0,0,0,0.0,1,2,4,1,0.9499829411506653,0.0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,true
4,com.puppycrawl.tools.checkstyle.gui.JTreeTable:JTreeTable,0,19,0,1,0.027777777777777776,2,4,36,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,2,8.0,3.0,2.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,true
4,com.puppycrawl.tools.checkstyle.InputMagicNumber:magicMethod,0,0,0,0,0.0,0,1,2,0,0.7330730557441711,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,true
4,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:calculateScope,1,3,0,1,1.0,0,4,6,0,0.7768274545669556,0.6372116189642144,0,0,0,0,0,0,0,0,0,0,1,1,41.0,41.0,41.0,8.0,8.0,8.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,0.04081632653061224,false
4,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:isMissingJavadocAllowed,1,2,0,1,2.5,0,6,4,0,0.991180419921875,0.6048147367590061,0,0,0,0,0,0,0,0,0,0,3,2,141.0,80.0,47.0,32.0,24.0,10.666666666666666,109.0,56.0,36.333333333333336,0.0,1.0,0.0,0.0,0.6666666666666666,0.0070921985815602835,0.011560693641618497,true
4,com.puppycrawl.tools.checkstyle.gui.JTreeTable:actionPerformed,0,7,0,1,0.0,1,4,12,1,0.0021920460276305676,0.0,0,0,0,0,0,0,0,0,0,0,2,2,4.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,true
4,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:getColumnClass,3,0,0,1,0.0,0,2,3,0,0.536163330078125,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
4,com.puppycrawl.tools.checkstyle.checks.sizes.MethodCountCheckTest:testThrees,0,4,0,0,0.0,0,3,10,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,2,1,5.0,5.0,2.5,0.0,0.0,0.0,5.0,5.0,2.5,0.0,0.0,0.0,0.0,1.0,0.2,0.0,true
4,com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck:hasLineBreakBefore,1,2,0,1,0.4,2,6,10,2,0.31945735216140747,0.7436131563627619,0,0,0,0,0,0,0,0,0,0,1,1,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,2.0,0.0,0.0,1.0,0.1,0.0,true
4,com.puppycrawl.tools.checkstyle.checks.naming.AbstractClassNameCheck:getDefaultTokens,23,0,0,0,0.0,0,2,3,0,0.6761256456375122,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
4,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:setMinLineCount,0,0,0,1,0.75,0,1,4,0,0.9797975420951843,0.29250896965085227,0,0,0,0,0,0,0,0,0,0,1,1,80.0,80.0,80.0,24.0,24.0,24.0,56.0,56.0,56.0,0.0,1.0,0.0,0.0,1.0,0.0125,0.019230769230769232,true
4,com.puppycrawl.tools.checkstyle.design.InputInnerClassCheck:methodTest2,0,1,0,0,0.0,0,1,3,0,0.5217413902282715,0.0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,false
4,com.puppycrawl.tools.checkstyle.coding.InputRequireThis:MyEnum,0,0,0,0,0.0,0,1,3,0,0.9620440602302551,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
4,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:fireTreeNodesInserted,0,2,0,4,0.0,3,3,12,3,0.00434825150296092,0.0,0,0,0,0,0,0,0,0,0,0,2,2,24.0,20.0,12.0,0.0,0.0,0.0,24.0,20.0,12.0,0.0,0.0,0.0,0.0,0.5,0.041666666666666664,0.0,true
4,com.puppycrawl.tools.checkstyle.checks.coding.NestedForDepthCheckTest:testNestedOk,0,4,0,0,1.1428571428571428,0,4,7,0,0.24352630972862244,0.23926830649550085,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,true
4,com.puppycrawl.tools.checkstyle.doclets.CheckDocsDoclet:getPageName,1,5,0,1,0.4444444444444444,1,4,9,1,0.35148030519485474,0.6546536707079772,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,false
4,com.puppycrawl.tools.checkstyle.doclets.TokenTypesDoclet:getDestFileName,1,1,0,1,0.4,2,4,10,2,0.6519253849983215,0.6055300708194983,0,0,0,0,0,0,0,0,0,0,2,1,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,false
4,com.puppycrawl.tools.checkstyle.checks.javadoc.Input_02:doStuff1,0,1,0,0,0.3333333333333333,0,3,9,0,0.8011599183082581,0.447213595499958,0,0,0,0,0,0,0,0,0,0,1,1,26.0,26.0,26.0,25.0,25.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.0392156862745098,true
