method,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy
com.puppycrawl.tools.checkstyle.JavadocDetailNodeParser:getLine,1,1,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,true
com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck:getGenericTypeArgs,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,false
com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck:getDefaultTokens,2,2,34.0,33.0,17.0,34.0,34.0,17.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.029411764705882353,0.029411764705882353,true
com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest:testInvalidTryWithChecker,2,2,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,true
com.puppycrawl.tools.checkstyle.internal.CommitValidationTest:validateCommitMessage,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,true
com.puppycrawl.tools.checkstyle.PropertyCacheFileTest:testConfigHashOnReset,1,1,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,true
com.google.checkstyle.test.base.BaseCheckTestSupport:getConfiguration,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
com.puppycrawl.tools.checkstyle.checks.coding.ReturnCountCheckTest:getPath,1,1,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,true
com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheckTest:testUseContainerOrderingForStaticTrue,2,2,12.0,12.0,6.0,0.0,0.0,0.0,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheckTest:testDefaultHooks,1,1,15.0,15.0,15.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,true
com.puppycrawl.tools.checkstyle.checks.TranslationCheckTest:testLogIoException,3,2,6.0,5.0,2.0,1.0,1.0,0.3333333333333333,5.0,4.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.42857142857142855,true
com.puppycrawl.tools.checkstyle.MainTest:testListFilesNotFile,1,1,8.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,true
com.puppycrawl.tools.checkstyle.PropertyCacheFileTest:testPutNonExsistingExternalResourceSameExceptionBetweenRuns,2,2,30.0,30.0,15.0,0.0,0.0,0.0,30.0,30.0,15.0,0.0,0.0,0.0,0.0,0.5,0.03333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.grammars.javadoc.JavadocParseTreeTest:docRootInheritDoc,2,1,0.0,0.0,0.0,5.0,5.0,2.5,-5.0,-5.0,-2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest:isCommentConsistent,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,true
