test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
32,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_set_0_basic.dot,3,3,Constant,3.,3.
33,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_<clinit>_0_basic.dot,1,1,Constant,1.,1.
34,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getDynaBeanClass_0_basic.dot,1,1,Constant,1.,1.
35,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getDynaProperties_0_basic.dot,1,1,Constant,1.,1.
36,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getDynaProperty_0_basic.dot,2,2,Constant,2.,2.
37,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getName_0_basic.dot,1,1,Constant,1.,1.
38,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_<init>_0_basic.dot,4,8,Constant,8.,8.
39,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_newInstance_0_basic.dot,3,3,Constant,3.,3.
40,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_setDynaBeanClass_0_basic.dot,4,4,Constant,4.,4.
41,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_setProperties_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
42,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanAccessLanguageException_<init>_0_basic.dot,1,1,Constant,1.,1.
43,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_compare_0_basic.dot,5,5,Constant,5.,5.
44,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_equals_0_basic.dot,7,7,Constant,7.,7.
45,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_getComparator_0_basic.dot,1,1,Constant,1.,1.
46,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_getProperty_0_basic.dot,1,1,Constant,1.,1.
47,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_hashCode_0_basic.dot,1,1,Constant,1.,1.
48,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_<init>_0_basic.dot,2,2,Constant,2.,2.
49,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_internalCompare_0_basic.dot,1,1,Constant,1.,1.
50,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_setProperty_0_basic.dot,1,1,Constant,1.,1.
51,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_getDescriptor_0_basic.dot,3,3,Polynomial,0.67*n,3.38 + 0.67*n
52,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_getDescriptors_0_basic.dot,1,1,Constant,1.,1.
53,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_getWriteMethod_0_basic.dot,5,5,Constant,5.,5.
54,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_<init>_0_basic.dot,1,1,Constant,1.,1.
55,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_setUpWriteMethodNames_0_basic.dot,3,3,Exponential,2.92*1.22^n,1. + 0.02*0.72^n + 0.45*1.06^n + 2.92*1.22^n
56,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_access$000_0_basic.dot,1,1,Constant,1.,1.
57,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_access$100_0_basic.dot,1,1,Constant,1.,1.
58,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_clear_0_basic.dot,3,3,Constant,3.,3.
59,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_<clinit>_0_basic.dot,1,1,Constant,1.,1.
60,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_clone_0_basic.dot,7,7,Exponential,6.48*1.22^n,3. + 0.01*0.72^n + 0.5700000000000001*1.06^n + 6.48*1.22^n
61,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_containsKey_0_basic.dot,2,2,Constant,2.,2.
