test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
105,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_andNot_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
106,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_bitCount_0_basic.dot,5,7,Polynomial,0.12*n^2.,7. + 1.75*n + 0.12*n^2.
107,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_bitLength_0_basic.dot,9,19,Exponential,40.25*2.^(0.2*n),5. + 9.49*1.1500000000000001^n + 40.25*2.^(0.2*n)
108,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_bitLengthForInt_0_basic.dot,1,1,Constant,1.,1.
109,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_clearBit_0_basic.dot,3,3,Polynomial,0.5*n,3. + 0.5*n
110,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_<clinit>_0_basic.dot,5,9,Polynomial,0.25*n^2.,13. + 3.5*n + 0.25*n^2.
111,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_compareMagnitude_0_basic.dot,15,47,Constant,47.,47.
112,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_compareTo_0_basic.dot,1,1,Constant,1.,1.
113,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_destructiveMulAdd_0_basic.dot,3,4,Polynomial,0.12*n^2.,3. + 1.25*n + 0.12*n^2.
114,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_divide_0_basic.dot,1,1,Constant,1.,1.
115,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_divideAndRemainder_0_basic.dot,2,2,Constant,2.,2.
116,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_doubleValue_0_basic.dot,1,1,Constant,1.,1.
117,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_equals_0_basic.dot,7,7,Polynomial,0.67*n,10.05 + 0.67*n
118,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_firstNonzeroIntNum_0_basic.dot,4,4,Polynomial,0.67*n,3.71 + 0.67*n
119,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_flipBit_0_basic.dot,3,3,Polynomial,0.5*n,3. + 0.5*n
120,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_floatValue_0_basic.dot,1,1,Constant,1.,1.
121,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_gcd_0_basic.dot,3,3,Constant,3.,3.
122,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_getInt_0_basic.dot,5,5,Constant,5.,5.
