,graph_name,apc,cyclo,npath
31,com.puppycrawl.tools.checkstyle.checks.whitespace.InputForWhitespace:method1,"(n**6, '0.0001*n**6 + 0.0025*n**5 + 0.0342*n**4 + 0.2525*n**3 + 0.875*n**2 + 0.8103*n + 0.1569')",8.0,128
32,com.puppycrawl.tools.checkstyle.grammars.InputJava7TryWithResources:main,"(15.0000000000000, 15.0000000000000)",15.0,15
33,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:checkHtmlTags,"('1.3803**n', '0.0629*0.9404**n + 0.0628*1.0**n + 0.04*1.0952**n + 0.2095*1.142**n + 0.1268*1.2109**n + 0.3958*1.3078**n + 0.481*1.3803**n + 0.168')",11.0,31
34,com.google.checkstyle.test.chapter4formatting.rule42blockindentaion.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
35,com.puppycrawl.tools.checkstyle.internal.CheckUtil:getTokenText,"('1.3363**n', '1.1427*0.8615**n + 0.2747*0.9885**n + 0.7095*1.1044**n + 0.0076*1.1737**n + 0.056*1.2007**n + 0.1838*1.3363**n + 0.9991')",9.0,41
36,com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck:visitToken,"(22.0000000000000, 22.0000000000000)",9.0,22
37,com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:canBeReferencedFromStaticContext,"(n, '1.3333*1.0**n + 8.0*n + 82.6667')",9.0,36
38,com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader:startElement,"(27.0000000000000, 27.0000000000000)",9.0,27
39,com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheck:isIgnoreSituation,"(27.0000000000000, 27.0000000000000)",12.0,27
40,com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
41,com.google.checkstyle.test.chapter4formatting.rule411bracesareused.InputNeedBraces:testIf,"(144.000000000000, 144.000000000000)",9.0,144
42,com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.InputLeftCurlyBraces:testIf,"(144.000000000000, 144.000000000000)",9.0,144
43,com.puppycrawl.tools.checkstyle.checks.blocks.InputBraces:testIf,"(144.000000000000, 144.000000000000)",9.0,144
44,com.puppycrawl.tools.checkstyle.checks.whitespace.InputBraces:testIf,"(144.000000000000, 144.000000000000)",9.0,144
45,com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest:isCommentConsistent,"(10.0000000000000, 10.0000000000000)",8.0,10
46,com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
47,com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck:visitToken,"(121.000000000000, 121.000000000000)",12.0,121
48,com.puppycrawl.tools.checkstyle.TreeWalker:appendHiddenCommentNodes,"('1.4558**n', '0.3858*0.7811**n + 2.9059*0.8385**n + 0.0884*1.0**n + 0.0199*1.2654**n + 0.0577*1.4558**n + 0.1661*n + 2.1532')",10.0,75
49,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:testAllCheckSections,"('1.3939**n', '8.0272*0.9631**n + 0.0471*1.0242**n + 0.0146*1.0862**n + 0.0302*1.0945**n + 0.0331*1.2045**n + 0.0387*1.222**n + 0.071*1.3939**n + 6.9797')",9.0,11
50,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:calculateDistanceBetweenScopes,"('1.4342**n', '0.021*1.2907**n + 0.1015*1.3139**n + 0.0609*1.3682**n + 0.0436*1.4163**n + 0.1114*1.4342**n + 0.0774')",10.0,15
51,com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck:getImportGroup,"('1.3247**n', '2.8802*0.6823**n + 0.6784*0.8688**n + 0.1819*1.2106**n + 1.1787*1.3247**n + 18.6668')",12.0,168
52,com.puppycrawl.tools.checkstyle.checks.imports.Guard:verifyImport,"(10.0000000000000, 10.0000000000000)",10.0,10
53,com.puppycrawl.tools.checkstyle.checks.indentation.InputValidWhileIndent:method1,"(n**8, '0.0013*n**8 + 0.0256*n**7 + 0.2044*n**6 + 0.029*n**5 + 0.0024*n**4 + 0.0002*n**3')",15.0,9216
54,com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck:isDistributedExpression,"(n**3, '0.5593*1.0**n + 0.0556*n**3 + 1.5*n**2 + 15.3333*n + 49.3334')",10.0,45
55,com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck:finishImportList,"('1.3865**n', '4.0022*0.6214**n + 0.1069*0.9684**n + 0.237*1.1545**n + 0.0873*1.2095**n + 0.1524*1.3865**n + 0.1241')",10.0,10
56,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkComment,"('1.2207**n', '0.449*0.7245**n + 0.6667*1.0**n + 0.4322*1.0633**n + 3.8608*1.2207**n + 4.0*n + 14.6672')",10.0,58
57,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:isInitializationSequence,"('1.3142**n', '0.3799*0.9318**n + 0.0586*1.1293**n + 0.3344*1.1762**n + 0.0258*1.221**n + 0.4585*1.3142**n + 0.4275')",11.0,11
58,com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck:processMethods,"('1.3917**n', '0.5024*0.9215**n + 0.3852*1.0**n + 0.2297*1.1617**n + 0.0132*1.2542**n + 0.375*1.3917**n + 0.1662*n + 0.3835')",10.0,30
59,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkParamTags,"('1.4196**n', '2.2245*0.7044**n + 0.6522*0.8815**n + 0.5878*1.0**n + 0.2514*1.1344**n + 0.2762*1.4196**n + 0.0207*n**2 + 0.0778*n + 0.7611')",10.0,48
60,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:validatePropertySection,"('1.2207**n', '4.8096*0.7245**n + 1.597*1.0633**n + 5.5624*1.2207**n + 36.0002')",10.0,108
61,com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck:isImmutableField,"(16.0000000000000, 16.0000000000000)",12.0,16
62,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:shouldCheck,"(38.0000000000000, 38.0000000000000)",12.0,38
63,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:validateErrorSection,"('1.2207**n', '1642.1508*0.7245**n + 0.9544*1.0633**n + 24.8185*1.1892**n + 15.0698*1.2207**n + 6.8375*n + 89.0475')",8.0,48
64,com.puppycrawl.tools.checkstyle.checks.blocks.InputLeftCurlyOther:foo,"(n**2, '3.0*n**2 + 46.0*n + 183.0')",10.0,49
65,com.puppycrawl.tools.checkstyle.checks.coding.InputFinalLocalVariableAssignedMultipleTimes:foo10,"(80.0000000000000, 80.0000000000000)",10.0,80
66,com.puppycrawl.tools.checkstyle.checks.coding.InputVariableDeclarationUsageDistance:testMethod15,"(n**2, '6.75*n**2 + 144.0*n + 771.0')",9.0,108
67,com.google.checkstyle.test.chapter4formatting.rule42blockindentaion.FooForClass:fooMethodWithIf,"(n**5, '0.001*n**5 + 0.02*n**4 + 0.1955*n**3 + 0.9992*n**2 + 2.2922*n + 1.3481')",7.0,64
68,com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.InputRightCurlyOther:foo,"('1.1673**n', '0.4033*0.8422**n + 0.184*1.099**n + 32.4154*1.1673**n + 0.5*n**2 + 7.0001*n + 21.4989')",9.0,41
69,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:getCheckPropertyExpectedValue,"(33.0000000000000, 33.0000000000000)",12.0,33
70,com.puppycrawl.tools.checkstyle.utils.CheckUtils:isGetterMethod,"(30.0000000000000, 30.0000000000000)",11.0,30
71,com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooForClass:fooMethodWithIf,"(n**5, '0.001*n**5 + 0.02*n**4 + 0.1955*n**3 + 0.9992*n**2 + 2.2922*n + 1.3481')",7.0,64
72,com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooForClass:fooMethodWithIf,"(n**5, '0.001*n**5 + 0.02*n**4 + 0.1955*n**3 + 0.9992*n**2 + 2.2922*n + 1.3481')",7.0,64
73,com.puppycrawl.tools.checkstyle.utils.CheckUtils:isSetterMethod,"(30.0000000000000, 30.0000000000000)",11.0,30
74,com.puppycrawl.tools.checkstyle.api.LocalizedMessage:equals,"(13.0000000000000, 13.0000000000000)",13.0,13
75,com.puppycrawl.tools.checkstyle.checks.ClassResolver:resolve,"('1.2207**n', '1.8529*0.7245**n + 0.2911*1.0633**n + 3.3283*1.2207**n + 10.0001')",10.0,32
76,com.puppycrawl.tools.checkstyle.ConfigurationLoader:parsePropertyString,"('1.3555**n', '0.0819*1.1177**n + 0.1591*1.1237**n + 0.0999*1.2533**n + 0.3046*1.3555**n + 0.5713')",8.0,20
77,com.puppycrawl.tools.checkstyle.checks.coding.OneStatementPerLineCheck:checkIfSemicolonIsInDifferentLineThanPrevious,"(63.0000000000000, 63.0000000000000)",11.0,63
78,com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:getFieldWithoutThis,"(90.0000000000000, 90.0000000000000)",10.0,90
79,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:validateStyleChecks,"('1.3546**n', '42962.1685*0.3691**n + 0.108*1.1247**n + 0.1173*1.1909**n + 0.0927*1.1946**n + 0.2804*1.3546**n + 0.4988')",8.0,16
80,com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck:visitOtherTokens,"('1.298**n', '1.1324*1.0287**n + 0.0653*1.2066**n + 0.6579*1.298**n + 4.5')",9.0,45
81,com.puppycrawl.tools.checkstyle.utils.JavadocUtils:getJavadocTags,"('1.4715**n', '3.7406*0.7371**n + 0.1165*1.1401**n + 0.0775*1.2698**n + 0.1183*1.2881**n + 0.0877*1.4715**n + 0.1641')",10.0,26
82,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:getFirstNodeInsideIfBlock,"('1.3029**n', '120.8492*0.4963**n + 0.0415*1.136**n + 0.3188*1.2642**n + 0.7404*1.3029**n + 1.3997')",10.0,49
83,com.google.checkstyle.test.base.BaseIndentationCheckSupport:getLinesWithWarnAndCheckComments,"('1.1987**n', '0.6977*0.8061**n + 0.2457*0.9847**n + 0.0633*1.1507**n + 1.6573*1.1987**n + 0.8')",9.0,10
84,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:isInThrows,"('1.2298**n', '82.2784*0.4928**n + 0.029*0.8422**n + 0.0366*1.0749**n + 0.4209*1.099**n + 10.6561*1.1673**n + 0.4382*1.195**n + 6.8359*1.2298**n + 4.0003')",9.0,40
85,com.puppycrawl.tools.checkstyle.checks.coding.InputVariableDeclarationUsageDistance:buildTree,"('1.3345**n', '0.0526*1.1217**n + 0.0557*1.1523**n + 0.1267*1.2049**n + 0.0842*1.2512**n + 0.06*1.2564**n + 0.1424*1.3345**n + 0.0714')",7.0,16
86,com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest:getLinesWithWarnAndCheckComments,"('1.1987**n', '0.3671*0.8061**n + 0.1366*1.1507**n + 1.5018*1.1987**n + 0.2')",9.0,9
87,com.puppycrawl.tools.checkstyle.utils.BlockCommentPosition:isOnEnumConstant,"(75.0000000000000, 75.0000000000000)",11.0,75
88,com.puppycrawl.tools.checkstyle.checks.naming.InputOneCharInitVarName:fooMethod,"(n**5, '0.0009*n**5 + 0.0152*n**4 + 0.1267*n**3 + 0.5467*n**2 + 1.0497*n + 0.5561')",7.0,64
89,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck:visitToken,"(39.0000000000000, 39.0000000000000)",11.0,39
90,com.puppycrawl.tools.checkstyle.checks.indentation.LineWrappingHandler:checkIndentation,"('1.3471**n', '3.7406*0.6875**n + 0.5139*1.1584**n + 0.0015*1.1703**n + 0.4764*1.3471**n + 2.667')",8.0,40
91,com.puppycrawl.tools.checkstyle.internal.AllChecksTest:testAllCheckstyleMessages,"('1.3953**n', '10.489*0.4746**n + 0.0797*1.2157**n + 0.0368*1.2288**n + 0.0947*1.3532**n + 0.1364*1.3953**n + 0.4')",7.0,16
92,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck:shouldCheck,"(20.0000000000000, 20.0000000000000)",10.0,20
93,com.puppycrawl.tools.checkstyle.checks.naming.AbstractAccessControlNameCheck:shouldCheckInScope,"(124.000000000000, 124.000000000000)",12.0,124
94,com.puppycrawl.tools.checkstyle.BaseCheckTestSupport:verify,"(72.0000000000000, 72.0000000000000)",9.0,72
95,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:testAllStyleRules,"('1.3778**n', '0.1324*0.8324**n + 0.1286*1.0153**n + 0.0813*1.144**n + 0.0636*1.1443**n + 0.0362*1.1859**n + 0.0496*1.3778**n + 0.8571')",7.0,9
96,com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck:getOneLinePreviousStatement,"('1.6507**n', '1.7223*0.7464**n + 0.4444*1.0**n + 0.0451*1.2194**n + 0.0285*1.6507**n + 0.0743*n + 0.675')",9.0,27
97,com.puppycrawl.tools.checkstyle.XMLLogger:isReference,"(n, '0.3849*1.0**n + 0.6667*n + 1.0')",8.0,8
98,com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck:hasText,"(12.0000000000000, 12.0000000000000)",7.0,12
99,com.puppycrawl.tools.checkstyle.checks.modifier.ModifierOrderCheck:checkOrderSuggestedByJls,"('1.378**n', '0.1849*1.179**n + 0.1216*1.1868**n + 0.1973*1.378**n + 0.9999')",10.0,14
100,com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck:validate,"(22.0000000000000, 22.0000000000000)",10.0,22
101,com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck:getDetails,"(11.0000000000000, 11.0000000000000)",11.0,11
102,com.puppycrawl.tools.checkstyle.checks.coding.InputNestedForDepth:nestedForFiveLevel,"('1.3853**n', '2154885.982*0.5335**n + 2.8478*0.9115**n + 2.1343*1.1444**n + 4.0526*1.2971**n + 0.0269*1.3853**n + 28.6127')",6.0,6
103,com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck:visitToken,"(37.0000000000000, 37.0000000000000)",10.0,37
104,com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck:getIllegalInstantiation,"('1.2149**n', '0.209*1.0849**n + 0.4103*1.1827**n + 1.1407*1.2149**n + 3.0001')",7.0,15
105,com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck:containsAllSafeTokens,"('1.2149**n', '0.0828*1.0849**n + 0.3394*1.1827**n + 1.4921*1.2149**n + 0.0001')",9.0,24
106,com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck:leaveToken,"(15.0000000000000, 15.0000000000000)",9.0,15
107,com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck:findPreviousStatement,"(48.0000000000000, 48.0000000000000)",9.0,48
108,com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck:visitToken,"(32.0000000000000, 32.0000000000000)",10.0,32
109,com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:isPartOfDoubleBraceInitializerForNextToken,"(45.0000000000000, 45.0000000000000)",9.0,45
110,com.puppycrawl.tools.checkstyle.checks.coding.InputInnerAssignment:demoBug1195047Comment3,"(n**5, '0.001*n**5 + 0.0365*n**4 + 0.5*n**3 + 3.3542*n**2 + 10.9833*n + 14.0')",7.0,64
111,com.puppycrawl.tools.checkstyle.filters.SuppressionsLoader:startElement,"(35.0000000000000, 35.0000000000000)",9.0,35
112,com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceBeforeCheck:visitToken,"('1.1673**n', '0.9589*1.099**n + 4.9749*1.1673**n + 13.0')",9.0,35
113,com.puppycrawl.tools.checkstyle.checks.InputReturnFromFinally:thisNull,"(36.0000000000000, 36.0000000000000)",7.0,36
114,com.puppycrawl.tools.checkstyle.checks.indentation.LineWrappingHandler:checkAnnotationIndentation,"('1.3411**n', '0.0167*1.0203**n + 0.143*1.0796**n + 0.1092*1.1023**n + 0.0533*1.1129**n + 0.2153*1.2781**n + 0.2362*1.3411**n + 0.1429')",9.0,17
115,com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.InputLeftCurlyBraces:testFor,"('1.2207**n', '2.1438*0.7245**n + 0.0328*1.0633**n + 6.1266*1.2207**n + 0.0208*n**3 + 0.0625*n**2 + 1.9168*n + 7.9367')",6.0,24
116,com.puppycrawl.tools.checkstyle.internal.CommitValidationTest:resolveRevCommitsPair,"(9.00000000000000, 9.00000000000000)",9.0,9
117,com.google.checkstyle.test.chapter4formatting.rule411bracesareused.InputNeedBraces:testFor,"('1.2207**n', '2.1438*0.7245**n + 0.0328*1.0633**n + 6.1266*1.2207**n + 0.0208*n**3 + 0.0625*n**2 + 1.9168*n + 7.9367')",6.0,24
118,com.puppycrawl.tools.checkstyle.utils.CheckUtils:parseDouble,"(38.0000000000000, 38.0000000000000)",10.0,38
119,com.puppycrawl.tools.checkstyle.Main:runCli,"(8.00000000000000, 8.00000000000000)",7.0,8
120,com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheck:checkCheckClosingParens,"(27.0000000000000, 27.0000000000000)",10.0,27
121,com.puppycrawl.tools.checkstyle.checks.blocks.InputBraces:testFor,"('1.2207**n', '2.1438*0.7245**n + 0.0328*1.0633**n + 6.1266*1.2207**n + 0.0208*n**3 + 0.0625*n**2 + 1.9168*n + 7.9367')",6.0,24
122,com.puppycrawl.tools.checkstyle.checks.annotation.MissingOverrideCheck:visitToken,"(51.0000000000000, 51.0000000000000)",11.0,51
