,graph_name,apc,cyclo,npath
0,com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes:foo11,"('1.2207**n', '0.9613*1.0633**n + 35.0922*1.2207**n + 7636.6451')",38.0,29842.0
1,com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest:getModulePropertyExpectedTypeName,"(1264.00000000000, 1264.00000000000)",46.0,1264.0
2,com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationInSwitchBlock:fooSwitch,"(450.000000000000, 450.000000000000)",54.0,450.0
3,com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle.InputCommentsIndentationInSwitchBlock:fooSwitch,"(450.000000000000, 450.000000000000)",54.0,450.0
4,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidIfIndent:populatedIfTest,"(147456.000000000, 147456.000000000)",19.0,147456.0
5,com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest:getModulePropertyExpectedValue,"('1.2599**n', '910618.2177*1.0**n + 1207761.1314*1.1892**n + 0.4695*1.2599**n + 8888.4678*n**3 + 1640111.981*n**2 + 76087695.9682*n + 2389310.8637')",47.0,1583.0
6,com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
7,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
8,com.puppycrawl.tools.checkstyle.checks.coding.defaultcomeslast.InputDefaultComesLast:method,"(2239488.00000000, 2239488.00000000)",26.0,2239488
9,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThroughDefault:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
10,com.puppycrawl.tools.checkstyle.grammar.InputRegressionJavaClass1:instructions,"(0, 0)",33.0,724
11,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationTryWithResourcesStrict:fooMethod,"(n, '8716288.0*n + 358416299.9992')",113.0,"('NA', 'Timeout')"
12,com.puppycrawl.tools.checkstyle.checks.coding.nofinalizer.InputNoFinalizerFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
13,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
14,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThroughDefault:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
15,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationTryResourcesNotStrict:fooMethod,"(n, '139460612.0*n + 6710886343.9942')",122.0,"('NA', 'Timeout')"
16,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidIfIndent:populatedIfTest,"(17408.0000000000, 17408.0000000000)",16.0,17408
17,com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
18,com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad.InputParenPadTryWithResources:tryWithResources,"(1036.00000000000, 1036.00000000000)",23.0,1036
19,com.puppycrawl.tools.checkstyle.xpath.RootNodeTest:testIterate,"(82.0000000000000, 82.0000000000000)",25.0,82
20,com.puppycrawl.tools.checkstyle.internal.XdocsJavaDocsTest:appendNodeText,"(12960.0000000000, 12960.0000000000)",18.0,12960
21,com.puppycrawl.tools.checkstyle.checks.coding.nofinalizer.InputNoFinalizerFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
22,com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:getClassFrameWhereViolationIsFound,"(172.000000000000, 172.000000000000)",27.0,172
23,com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest:validateCheckSection,"('1.6781**n', '0.4135*0.8234**n + 104.8412*0.9412**n + 10.8411*0.9879**n + 6.5308*1.0425**n + 0.0604*1.2998**n + 0.1183*1.3447**n + 0.0646*1.3841**n + 0.0262*1.6781**n + 75.2682')",21.0,537
24,com.puppycrawl.tools.checkstyle.checks.blocks.needbraces.InputNeedBraces:testIf,"(n**3, '6.0*n**3 + 237.0*n**2 + 3054.0*n + 12712.0')",15.0,3888
25,com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives:foo16,"(n**4, '0.0001*n**4 + 0.0066*n**3 + 1.1767*n**2 + 2.5299*n + 0.9379')",20.0,35
26,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidForIndent:method1,"(n**8, '0.0012*n**8 + 0.0124*n**7 + 0.0013*n**6 + 0.0001*n**5')",15.0,12288
27,com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck:visitToken,"(25.0000000000000, 25.0000000000000)",25.0,25
28,com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:isNotRelevantSituation,"(1080.00000000000, 1080.00000000000)",15.0,1080
29,com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyTryResource:test,"(17.0000000000000, 17.0000000000000)",17.0,17
30,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough2:test,"(88.0000000000000, 88.0000000000000)",21.0,88
31,com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck:needSeparator,"(288.000000000000, 288.000000000000)",14.0,288
32,com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck:processMethods,"('1.3447**n', '2.7801*0.8153**n + 0.0099*1.0427**n + 0.9729*1.188**n + 0.0177*1.2077**n + 0.8072*1.3447**n + 4.0125')",13.0,108
33,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidForIndent:method1,"('1.2207**n', '42.8487*1.0633**n + 7.0661*1.2207**n + 0.0001*n**8 + 0.0065*n**7 + 0.2698*n**6 + 5.6087*n**5 + 46.5763*n**4 + 6.3588*n**3 + 0.5098*n**2 + 0.1475*n + 0.0015')",12.0,1536
34,com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes:foo13,"(21.0000000000000, 21.0000000000000)",13.0,21
