,graph_name,apc,cyclo,npath
0,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidIfIndent:populatedIfTest,"(147456.000000000, 147456.000000000)",19.0,147456.0
1,com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationInSwitchBlock:fooSwitch,"(450.000000000000, 450.000000000000)",54.0,450.0
2,com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle.InputCommentsIndentationInSwitchBlock:fooSwitch,"(450.000000000000, 450.000000000000)",54.0,450.0
3,com.puppycrawl.tools.checkstyle.checks.coding.defaultcomeslast.InputDefaultComesLast:method,"(2239488.00000000, 2239488.00000000)",26.0,2239488.0
4,com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes:foo11,"('1.2207**n', '0.784*1.0633**n + 39.6838*1.2207**n + 9611.3485')",39.0,37242.0
5,com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
6,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
7,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidIfIndent:populatedIfTest,"(17408.0000000000, 17408.0000000000)",16.0,17408
8,com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
9,com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
10,com.puppycrawl.tools.checkstyle.checks.coding.defaultcomeslast.InputSkipIfLastAndSharedWithCase:method,"(139968.000000000, 139968.000000000)",21.0,139968
11,com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest:getModulePropertyExpectedValue,"(85.0000000000000, 85.0000000000000)",22.0,85
