,file_name,graph_name,apc,cyclo,npath,apc_time,graph_size,basecasetype,exception,exception_type
0,/app/code/tests/cFiles/fse_2020_benchmark/05_parity.c,05_parity_cfg._Z6parityi,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.06748390197753906,3.0,BFS,0.0,na
1,/app/code/tests/cFiles/fse_2020_benchmark/03_sign.c,03_sign_cfg._Z4signi,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.006856441497802734,3.0,BFS,0.0,na
2,/app/code/tests/cFiles/fse_2020_benchmark/01_greatestof3.c,01_greatestof3_cfg._Z11greatestof3iii,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.005096435546875,3.0,BFS,0.0,na
3,/app/code/tests/cFiles/fse_2020_benchmark/04_prime.c,04_prime_cfg._Z11check_primei,"(n, '1.0*n - 1.0')",4.0,4.0,0.32755517959594727,5.0,BFS,0.0,na
4,/app/code/tests/cFiles/fse_2020_benchmark/14_lexicographic_array_compare.c,14_lexicographic_array_compare_cfg._Z14compare_arraysPiS_i,"(n, '1.0*n - 1.0')",5.0,5.0,0.16265439987182617,6.0,BFS,0.0,na
5,/app/code/tests/cFiles/fse_2020_benchmark/12_check_sorted_array.c,12_check_sorted_array_cfg._Z9is_sortedPii,"(n, '1.0*n - 1.0')",4.0,4.0,0.03684735298156738,5.0,BFS,0.0,na
6,/app/code/tests/cFiles/fse_2020_benchmark/13_check_arrays_equal.c,13_check_arrays_equal_cfg._Z12equal_arraysPiS_i,"(n, '1.0*n - 1.0')",4.0,4.0,0.04406332969665527,5.0,BFS,0.0,na
7,/app/code/tests/cFiles/fse_2020_benchmark/10_find_val_in_array.c,10_find_val_in_array_cfg._Z10find_firstiPii,"(n, '1.0*n - 1.0')",4.0,4.0,0.06159377098083496,6.0,BFS,0.0,na
8,/app/code/tests/cFiles/fse_2020_benchmark/15_check_heap_order.c,15_check_heap_order_cfg._Z13is_heap_orderPii,"(n, '1.0*n - 1.0')",5.0,5.0,0.0889286994934082,6.0,BFS,0.0,na
9,/app/code/tests/cFiles/fse_2020_benchmark/50_check_sorted_or_reverse.c,50_check_sorted_or_reverse_cfg._Z20is_sorted_or_reversePii,"(n**2, '1.0*n**2 - 10.0*n + 28.0')",8.0,25.0,0.25193262100219727,11.0,BFS,0.0,na
10,/app/code/tests/cFiles/fse_2020_benchmark/63_three_loops_symbolic_bounds.c,63_three_loops_symbolic_bounds_cfg._Z18three_loops_boundsiii,"(n**2, '3.5*n**2 - 50.5*n + 202.0')",7.0,9.0,0.2027134895324707,10.0,BFS,0.0,na
11,/app/code/tests/cFiles/fse_2020_benchmark/62_three_loops_w_break.c,62_three_loops_w_break_cfg._Z11three_loopsiiii,"(n**3, '0.1667*n**3 - 3.0*n**2 + 19.8333*n - 44.0')",7.0,15.0,0.2426445484161377,12.0,BFS,0.0,na
12,/app/code/tests/cFiles/fse_2020_benchmark/11_array_max.c,11_array_max_cfg._Z15largest_elementPii,"(n**2, '0.5*n**2 - 3.5*n + 9.0')",6.0,9.0,0.11735749244689941,8.0,BFS,0.0,na
13,/app/code/tests/cFiles/fse_2020_benchmark/30_euclid_GCD.c,30_euclid_GCD_cfg._Z3gcdii,"(n, '1.0*n - 1.0')",3.0,3.0,0.03158688545227051,4.0,BFS,0.0,na
14,/app/code/tests/cFiles/fse_2020_benchmark/16_binary_search.c,16_binary_search_cfg._Z13binary_searchiPii,"('1.3532**n', '-0.3165*1.2157**n + 0.8165*1.3532**n - 1.0')",6.0,10.0,0.39487671852111816,9.0,BFS,0.0,na
15,/app/code/tests/cFiles/fse_2020_benchmark/20_bubblesort.c,20_bubblesort_cfg._Z11bubble_sortPll,"('1.8313**n', '19329.7635*0.6976**n + 4415.6547*0.8103**n + 1670.0258*0.9367**n + 8107.8247*1.0211**n + 3.4316*1.2381**n - 1.5751*1.2444**n + 0.0031*1.8313**n - 11489.0212')",10.0,8.0,1.7942545413970947,15.0,BFS,0.0,na
16,/app/code/tests/cFiles/fse_2020_benchmark/22_selectionsort.c,22_selectionsort_cfg._Z14selection_sortPii,"('1.8197**n', '4636606.507*0.6608**n - 1286760.6056*0.7039**n + 703.5437*0.953**n - 418.2739*0.9873**n + 18361.6048*1.0189**n + 7.6711*1.1978**n - 0.7312*1.297**n + 0.0022*1.8197**n - 25799.2809')",10.0,24.0,2.007380723953247,16.0,BFS,0.0,na
17,/app/code/tests/cFiles/fse_2020_benchmark/17_edit_dist.c,17_edit_dist_cfg._Z16editDistArraysDPPiS_ii,"('1.8011**n', '-0.0705*0.6843**n - 0.1325*0.7109**n - 0.05*1.0968**n - 0.059*1.1116**n - 0.0462*1.1539**n + 0.2035*1.1569**n + 0.0924*1.2045**n - 0.0298*1.495**n + 0.0319*1.8011**n')",14.0,90.0,59.12994718551636,23.0,BFS,0.0,na
18,/app/code/tests/cFiles/fse_2020_benchmark/21_insertionsort.c,21_insertionsort_cfg._Z14insertion_sortPii,"('1.5129**n', '0.3051*1.5129**n')",5.0,8.0,0.5478715896606445,7.0,BFS,0.0,na
19,/app/code/tests/cFiles/fse_2020_benchmark/26_quicksort.c,26_quicksort_cfg._Z18quickSortIterativePiii,"('1.7838**n', '0.0003*1.7838**n')",11.0,60.0,12.080790281295776,21.0,BFS,0.0,na
