,graph_name,apc,cyclo,npath
39,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:isShortName,"(6.00000000000000, 6.00000000000000)",6.0,6.0
40,com.puppycrawl.tools.checkstyle.checks.HeaderCheck:beginTree,"('1.1892**n', '1.5292*1.1892**n + 0.9223')",5.0,5.0
41,com.puppycrawl.tools.checkstyle.checks.MemberNameCheck:mustCheckName,"(12.0000000000000, 12.0000000000000)",6.0,12.0
42,com.puppycrawl.tools.checkstyle.Main:traverse,"(n, '0.5*n + 0.5')",5.0,5.0
43,com.puppycrawl.tools.checkstyle.api.FullIdent:append,"(9.00000000000000, 9.00000000000000)",5.0,9.0
44,com.puppycrawl.tools.checkstyle.api.ScopeUtils:inCodeBlock,"(n, '0.5258*1.0**n + 0.8333*n + 2.8333')",6.0,6.0
45,com.puppycrawl.tools.checkstyle.ConfigurationLoader:replaceProperties,"('1.1939**n', '0.2736*0.8424**n + 0.2419*1.0865**n + 1.1297*1.1939**n + 1.0')",5.0,5.0
46,com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck:setFileExtensions,"('1.1892**n', '1.3933*1.1892**n + 0.9417')",4.0,4.0
47,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:processMethod,"(8.00000000000000, 8.00000000000000)",5.0,8.0
48,com.puppycrawl.tools.checkstyle.checks.LocalFinalVariableNameCheck:mustCheckName,"(9.00000000000000, 9.00000000000000)",5.0,9.0
49,com.puppycrawl.tools.checkstyle.checks.JavadocVariableCheck:visitToken,"(9.00000000000000, 9.00000000000000)",6.0,9.0
50,com.puppycrawl.tools.checkstyle.checks.LocalVariableNameCheck:mustCheckName,"(9.00000000000000, 9.00000000000000)",5.0,9.0
51,com.puppycrawl.tools.checkstyle.checks.ParenPadCheck:processLeft,"(10.0000000000000, 10.0000000000000)",7.0,10.0
52,com.puppycrawl.tools.checkstyle.checks.TodoCommentCheck:checkBadComments,"('1.392**n', '0.2472*0.6374**n + 0.5345*0.8313**n + 2.5853*0.8672**n + 0.0359*1.1765**n + 0.0445*1.2644**n + 0.03*1.392**n + 2.0')",5.0,5.0
53,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:checkComment,"('1.2207**n', '0.373*1.0633**n + 1.6028*1.2207**n + 3.0')",6.0,13.0
54,com.puppycrawl.tools.checkstyle.checks.UnusedImportsCheck:visitToken,"(6.00000000000000, 6.00000000000000)",6.0,6.0
55,com.puppycrawl.tools.checkstyle.api.AutomaticBean:contextualize,"(n, '0.5*n + 3.0')",6.0,6.0
56,com.puppycrawl.tools.checkstyle.api.DetailAST:getPreviousSibling,"(n, '0.3849*1.0**n + 0.6667*n + 1.3333')",4.0,4.0
57,com.puppycrawl.tools.checkstyle.checks.HiddenFieldCheck:visitToken,"('1.2207**n', '0.4382*0.7245**n + 0.2581*1.0633**n + 0.4843*1.2207**n')",4.0,4.0
58,com.puppycrawl.tools.checkstyle.checks.EmptyBlockCheck:visitToken,"(6.00000000000000, 6.00000000000000)",6.0,6.0
59,com.puppycrawl.tools.checkstyle.api.ScopeUtils:inInterfaceBlock,"(n, '0.7194*n + 2.3458')",4.0,4.0
60,com.puppycrawl.tools.checkstyle.PackageNamesLoader:getPackageName,"('1.2207**n', '0.3175*0.7245**n + 0.2744*1.0633**n + 0.5912*1.2207**n')",4.0,4.0
61,com.puppycrawl.tools.checkstyle.checks.HeaderCheck:setHeaderFile,"(n, '0.5*n + 1.0')",5.0,5.0
62,com.puppycrawl.tools.checkstyle.checks.OperatorWrapCheck:visitToken,"(10.0000000000000, 10.0000000000000)",6.0,10.0
63,com.puppycrawl.tools.checkstyle.checks.ModifierOrderCheck:checkOrderSuggestedByJLS,"('1.3247**n', '0.8328*0.8688**n + 0.461*1.3247**n + 1.3162')",5.0,7.0
64,com.puppycrawl.tools.checkstyle.checks.RedundantImportCheck:fromPackage,"(4.00000000000000, 4.00000000000000)",4.0,4.0
65,com.puppycrawl.tools.checkstyle.checks.HiddenFieldCheck:processVariable,"(n, '0.3849*1.0**n + 0.6667*n + 1.3333')",5.0,5.0
66,com.puppycrawl.tools.checkstyle.checks.TranslationCheck:compareKeySets,"('1.3247**n', '0.2345*1.3247**n')",4.0,4.0
67,com.puppycrawl.tools.checkstyle.checks.TranslationCheck:checkPropertyFileSets,"('1.292**n', '0.9179*0.7246**n + 0.205*1.1286**n + 0.017*1.1571**n + 0.2557*1.292**n')",4.0,4.0
68,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:getThrows,"('1.2906**n', '0.1426*1.2221**n + 0.2898*1.2906**n + 0.6667')",5.0,5.0
69,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:checkReturnTag,"('1.2786**n', '0.0713*0.65**n + 0.4498*0.9591**n + 0.1268*1.1437**n + 0.5603*1.2786**n + 1.0')",5.0,8.0
70,com.puppycrawl.tools.checkstyle.ConfigurationLoader:loadConfiguration,"(6.00000000000000, 6.00000000000000)",6.0,6.0
71,com.puppycrawl.tools.checkstyle.OptionTest:testBlockOption,"(4.00000000000000, 4.00000000000000)",3.0,4.0
72,com.puppycrawl.tools.checkstyle.OptionTest:testOperatorWrapOption,"(4.00000000000000, 4.00000000000000)",3.0,4.0
73,com.puppycrawl.tools.checkstyle.OptionTest:testEqualKeys,"(4.00000000000000, 4.00000000000000)",3.0,4.0
74,com.puppycrawl.tools.checkstyle.OptionTest:testPadOption,"(4.00000000000000, 4.00000000000000)",3.0,4.0
75,com.puppycrawl.tools.checkstyle.OptionTest:testRightCurlyOption,"(4.00000000000000, 4.00000000000000)",3.0,4.0
76,com.puppycrawl.tools.checkstyle.api.FileContents:extractCComment,"(n, '0.5*n + 1.5')",3.0,3.0
77,com.puppycrawl.tools.checkstyle.api.ScopeUtils:isOuterMostType,"(n, '0.7819*n + 3.0777')",4.0,4.0
78,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:visitToken,"(4.00000000000000, 4.00000000000000)",4.0,4.0
79,com.puppycrawl.tools.checkstyle.api.Utils:lengthExpandedTabs,"('1.1892**n', '1.6184*1.1892**n + 2.5477')",3.0,3.0
80,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:fireTreeNodesChanged,"('1.2786**n', '0.2539*0.9591**n + 0.1706*1.1437**n + 0.402*1.2786**n + 0.5')",4.0,4.0
81,com.puppycrawl.tools.checkstyle.checks.ModifierOrderCheck:visitToken,"(n, '1.5*n + 7.0')",4.0,6.0
82,com.puppycrawl.tools.checkstyle.checks.NeedBracesCheck:visitToken,"(9.00000000000000, 9.00000000000000)",5.0,9.0
83,com.puppycrawl.tools.checkstyle.checks.SimplifyBooleanReturnCheck:isBooleanLiteralReturnStatement,"(5.00000000000000, 5.00000000000000)",5.0,5.0
84,com.puppycrawl.tools.checkstyle.gui.ParseTreeModel:getColumnClass,"(6.00000000000000, 6.00000000000000)",6.0,6.0
85,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:fireTreeNodesInserted,"('1.2786**n', '0.2539*0.9591**n + 0.1706*1.1437**n + 0.402*1.2786**n + 0.5')",4.0,4.0
86,com.puppycrawl.tools.checkstyle.gui.ParseTreeModel:getValueAt,"(6.00000000000000, 6.00000000000000)",6.0,6.0
87,com.puppycrawl.tools.checkstyle.PackageObjectFactory:doMakeObject,"(5.00000000000000, 5.00000000000000)",4.0,5.0
88,com.puppycrawl.tools.checkstyle.checks.ClassResolverTest:testMisc,"(4.00000000000000, 4.00000000000000)",4.0,4.0
89,com.puppycrawl.tools.checkstyle.StringArrayReader:read,"(4.00000000000000, 4.00000000000000)",4.0,4.0
90,com.puppycrawl.tools.checkstyle.api.DetailAST:getBranchTokenTypes,"(n, '0.5*n + 1.5')",3.0,3.0
91,com.puppycrawl.tools.checkstyle.checks.VisibilityModifierCheck:inInterfaceBlock,"(n, '0.6667*1.0**n + 1.0*n + 2.6667')",4.0,4.0
92,com.puppycrawl.tools.checkstyle.api.DetailAST:findFirstToken,"(n, '0.3849*1.0**n + 0.6667*n + 2.0')",3.0,3.0
93,com.puppycrawl.tools.checkstyle.api.DetailAST:getColumnNo,"(4.00000000000000, 4.00000000000000)",4.0,4.0
94,com.puppycrawl.tools.checkstyle.api.DetailAST:getLineNo,"(4.00000000000000, 4.00000000000000)",4.0,4.0
95,com.puppycrawl.tools.checkstyle.api.FileContents:reportCComment,"(4.00000000000000, 4.00000000000000)",3.0,4.0
96,com.puppycrawl.tools.checkstyle.api.FullIdent:extractFullIdent,"(3.00000000000000, 3.00000000000000)",3.0,3.0
97,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:fireTreeNodesRemoved,"('1.2786**n', '0.2539*0.9591**n + 0.1706*1.1437**n + 0.402*1.2786**n + 0.5')",4.0,4.0
98,com.puppycrawl.tools.checkstyle.api.Utils:lengthMinusTrailingWhitespace,"(n, '0.3849*1.0**n + 0.6667*n + 2.0')",3.0,3.0
99,com.puppycrawl.tools.checkstyle.api.Utils:whitespaceBefore,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
100,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:fireTreeStructureChanged,"('1.2786**n', '0.2539*0.9591**n + 0.1706*1.1437**n + 0.402*1.2786**n + 0.5')",4.0,4.0
101,com.puppycrawl.tools.checkstyle.checks.IllegalImportCheck:isIllegalImport,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
102,com.puppycrawl.tools.checkstyle.checks.IllegalInstantiationCheck:processLiteralNew,"(5.00000000000000, 5.00000000000000)",4.0,5.0
103,com.puppycrawl.tools.checkstyle.checks.LineLengthCheck:beginTree,"('1.3247**n', '0.3464*1.3247**n + 0.6581')",4.0,4.0
104,com.puppycrawl.tools.checkstyle.checks.InnerAssignmentCheck:isAssignment,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
105,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:isSameType,"(4.00000000000000, 4.00000000000000)",4.0,4.0
106,com.puppycrawl.tools.checkstyle.api.DetailAST:getChildCount,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
107,com.puppycrawl.tools.checkstyle.api.FileContents:getJavadocBefore,"('1.2207**n', '0.6682*0.7245**n + 0.1324*1.0633**n + 1.2061*1.2207**n + 2.0')",4.0,4.0
108,com.puppycrawl.tools.checkstyle.checks.RegexpHeaderCheck:setHeaderFile,"(n, '0.5*n + 0.5')",4.0,4.0
109,com.puppycrawl.tools.checkstyle.checks.SimplifyBooleanReturnCheck:visitToken,"(4.00000000000000, 4.00000000000000)",4.0,4.0
110,com.puppycrawl.tools.checkstyle.checks.EqualsHashCodeCheck:finishTree,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
111,com.puppycrawl.tools.checkstyle.checks.PackageHtmlCheck:process,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
112,com.puppycrawl.tools.checkstyle.checks.GenericIllegalRegexpCheck:beginTree,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
113,com.puppycrawl.tools.checkstyle.checks.TranslationCheck:arrangePropertyFiles,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
114,com.puppycrawl.tools.checkstyle.checks.VisibilityModifierCheck:getModifiers,"(n, '0.5*n + 1.0')",3.0,3.0
115,com.puppycrawl.tools.checkstyle.checks.TodoCommentCheck:checkCppComments,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
116,com.puppycrawl.tools.checkstyle.checks.UnusedImportsCheck:finishTree,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
117,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:getParameters,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
118,com.puppycrawl.tools.checkstyle.checks.VisibilityModifierCheck:getVisibilityScope,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
119,com.puppycrawl.tools.checkstyle.checks.VisibilityModifierCheck:getVarNameAST,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
120,com.puppycrawl.tools.checkstyle.AbstractLoader:resolveEntity,"(3.00000000000000, 3.00000000000000)",3.0,3.0
121,com.puppycrawl.tools.checkstyle.DefaultLogger:closeStreams,"(4.00000000000000, 4.00000000000000)",3.0,4.0
122,com.puppycrawl.tools.checkstyle.PackageNamesLoader:loadModuleFactory,"(5.00000000000000, 5.00000000000000)",5.0,5.0
123,com.puppycrawl.tools.checkstyle.gui.AbstractCellEditor:fireEditingCanceled,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
124,com.puppycrawl.tools.checkstyle.PackageNamesLoader:startElement,"(3.00000000000000, 3.00000000000000)",3.0,3.0
125,com.puppycrawl.tools.checkstyle.PropertyCacheFile:alreadyChecked,"(3.00000000000000, 3.00000000000000)",3.0,3.0
126,com.puppycrawl.tools.checkstyle.checks.PackageHtmlCheck:getParentDirs,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
127,com.puppycrawl.tools.checkstyle.api.CheckstyleException:initCause,"(3.00000000000000, 3.00000000000000)",3.0,3.0
128,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:getIndexOfChild,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
129,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:checkThrowsTags,"('1.4571**n', '764.5496*0.7214**n + 2.617*0.8528**n + 0.2517*0.9352**n + 0.043*1.0833**n + 0.4174*1.1276**n + 0.0055*1.1838**n + 0.0788*1.196**n + 0.1306*1.4571**n + 0.0595*n + 0.4332')",13.0,84.0
130,com.puppycrawl.tools.checkstyle.api.TokenTypes:getTokenName,"(3.00000000000000, 3.00000000000000)",3.0,3.0
131,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:isFunction,"(4.00000000000000, 4.00000000000000)",4.0,4.0
132,com.puppycrawl.tools.checkstyle.checks.IllegalInstantiationCheck:visitToken,"(4.00000000000000, 4.00000000000000)",4.0,4.0
133,com.puppycrawl.tools.checkstyle.checks.JavadocTag:isSeeOrInheritDocTag,"(3.00000000000000, 3.00000000000000)",3.0,3.0
134,com.puppycrawl.tools.checkstyle.gui.AbstractCellEditor:fireEditingStopped,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",3.0,3.0
135,com.puppycrawl.tools.checkstyle.checks.ParameterNameCheck:mustCheckName,"(3.00000000000000, 3.00000000000000)",3.0,3.0
136,com.puppycrawl.tools.checkstyle.checks.JavadocTag:isThrowsTag,"(3.00000000000000, 3.00000000000000)",3.0,3.0
137,com.puppycrawl.tools.checkstyle.checks.UnusedImportsCheck:processIdent,"(3.00000000000000, 3.00000000000000)",3.0,3.0
138,com.puppycrawl.tools.checkstyle.DefaultLogger:DefaultLogger,"(2.00000000000000, 2.00000000000000)",2.0,2.0
139,com.puppycrawl.tools.checkstyle.PackageObjectFactory:createObject,"(4.00000000000000, 4.00000000000000)",4.0,4.0
140,com.puppycrawl.tools.checkstyle.StringArrayReader:dataAvailable,"(2.00000000000000, 2.00000000000000)",2.0,2.0
141,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:verifyConfigNode,"(n, '0.5*n + 1.5')",2.0,2.0
142,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testReplacePropertiesNoReplace,"(n, '0.5*n + 1.5')",2.0,2.0
143,com.puppycrawl.tools.checkstyle.XMLLogger:auditFinished,"(2.00000000000000, 2.00000000000000)",2.0,2.0
144,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testReplacePropertiesReplace,"(n, '0.5*n + 1.5')",2.0,2.0
145,com.puppycrawl.tools.checkstyle.api.DetailAST:branchContains,"(2.00000000000000, 2.00000000000000)",2.0,2.0
146,com.puppycrawl.tools.checkstyle.api.Scope:isIn,"(2.00000000000000, 2.00000000000000)",2.0,2.0
147,com.puppycrawl.tools.checkstyle.checks.AbstractNameCheck:visitToken,"(3.00000000000000, 3.00000000000000)",3.0,3.0
148,com.puppycrawl.tools.checkstyle.api.Check:setTokens,"(n, '0.5*n + 1.5')",2.0,2.0
149,com.puppycrawl.tools.checkstyle.checks.AvoidStarImportCheck:visitToken,"(3.00000000000000, 3.00000000000000)",3.0,3.0
150,com.puppycrawl.tools.checkstyle.api.DetailAST:getLastChild,"(n, '0.3849*1.0**n + 0.6667*n + 1.6667')",3.0,3.0
151,com.puppycrawl.tools.checkstyle.checks.HeaderCheck:isIgnoreLine,"(2.00000000000000, 2.00000000000000)",2.0,2.0
152,com.puppycrawl.tools.checkstyle.checks.HeaderCheck:setIgnoreLines,"(3.00000000000000, 3.00000000000000)",3.0,3.0
153,com.puppycrawl.tools.checkstyle.api.Utils:getLines,"(n, '0.5*n + 1.5')",2.0,2.0
154,com.puppycrawl.tools.checkstyle.checks.IllegalInstantiationCheck:basename,"(2.00000000000000, 2.00000000000000)",2.0,2.0
155,com.puppycrawl.tools.checkstyle.checks.MethodLengthCheck:visitToken,"(3.00000000000000, 3.00000000000000)",3.0,3.0
156,com.puppycrawl.tools.checkstyle.checks.ParenPadCheck:visitToken,"(2.00000000000000, 2.00000000000000)",2.0,2.0
157,com.puppycrawl.tools.checkstyle.checks.TranslationCheck:extractPropertyIdentifier,"(2.00000000000000, 2.00000000000000)",2.0,2.0
158,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:basename,"(2.00000000000000, 2.00000000000000)",2.0,2.0
159,com.puppycrawl.tools.checkstyle.checks.UnusedImportsCheck:basename,"(2.00000000000000, 2.00000000000000)",2.0,2.0
160,com.puppycrawl.tools.checkstyle.checks.UnusedImportsCheck:processImport,"(3.00000000000000, 3.00000000000000)",3.0,3.0
161,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:isCellEditable,"(2.00000000000000, 2.00000000000000)",2.0,2.0
162,com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:isLeaf,"(2.00000000000000, 2.00000000000000)",2.0,2.0
163,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testMissingConfigName,"(2.00000000000000, 2.00000000000000)",2.0,2.0
164,com.puppycrawl.tools.checkstyle.ConfigurationLoader:endElement,"(2.00000000000000, 2.00000000000000)",2.0,2.0
165,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testMissingConfigParent,"(2.00000000000000, 2.00000000000000)",2.0,2.0
166,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testMissingPropertyName,"(2.00000000000000, 2.00000000000000)",2.0,2.0
167,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testMissingPropertyValue,"(2.00000000000000, 2.00000000000000)",2.0,2.0
168,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testReplacePropertiesMissingProperty,"(2.00000000000000, 2.00000000000000)",2.0,2.0
169,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testReplacePropertiesSyntaxError,"(2.00000000000000, 2.00000000000000)",2.0,2.0
170,com.puppycrawl.tools.checkstyle.gui.ParseTreeModel:getChild,"(n, '0.5*n + 1.5')",2.0,2.0
171,com.puppycrawl.tools.checkstyle.DefaultLogger:addError,"(2.00000000000000, 2.00000000000000)",2.0,2.0
172,com.puppycrawl.tools.checkstyle.checks.IllegalInstantiationCheck:setClasses,"(n, '0.5*n + 1.5')",2.0,2.0
173,com.puppycrawl.tools.checkstyle.Main:loadProperties,"(2.00000000000000, 2.00000000000000)",2.0,2.0
174,com.puppycrawl.tools.checkstyle.DefaultConfiguration:getAttribute,"(2.00000000000000, 2.00000000000000)",2.0,2.0
175,com.puppycrawl.tools.checkstyle.PropertyCacheFile:hexEncode,"(n, '0.5*n + 1.5')",2.0,2.0
176,com.puppycrawl.tools.checkstyle.PackageNamesLoader:endElement,"(2.00000000000000, 2.00000000000000)",2.0,2.0
177,com.puppycrawl.tools.checkstyle.PackageNamesLoaderTest:testNoFile,"(2.00000000000000, 2.00000000000000)",2.0,2.0
178,com.puppycrawl.tools.checkstyle.PackageObjectFactory:createModule,"(3.00000000000000, 3.00000000000000)",3.0,3.0
179,com.puppycrawl.tools.checkstyle.PackageObjectFactoryTest:testMakeObectNoClass,"(2.00000000000000, 2.00000000000000)",2.0,2.0
180,com.puppycrawl.tools.checkstyle.StringArrayReaderTest:testClose,"(2.00000000000000, 2.00000000000000)",2.0,2.0
181,com.puppycrawl.tools.checkstyle.StringArrayReaderTest:testLineBreakCharArray,"(2.00000000000000, 2.00000000000000)",2.0,2.0
182,com.puppycrawl.tools.checkstyle.StringArrayReaderTest:testLineBreakSingleChar,"(2.00000000000000, 2.00000000000000)",2.0,2.0
183,com.puppycrawl.tools.checkstyle.StringArrayReaderTest:testNoLineBreakCharArray,"(2.00000000000000, 2.00000000000000)",2.0,2.0
