,graph_name,apc,cyclo,npath
0,com.puppycrawl.tools.checkstyle.indentation.InputInvalidIfIndent:populatedIfTest,"(17408.0000000000, 17408.0000000000)",16.0,17408.0
1,com.puppycrawl.tools.checkstyle.indentation.InputValidIfIndent:populatedIfTest,"(147456.000000000, 147456.000000000)",19.0,147456.0
2,com.puppycrawl.tools.checkstyle.Main:main,"(n, '6.0*n + 30.0')",20.0,60.0
3,com.puppycrawl.tools.checkstyle.coding.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
4,com.google.checkstyle.test.chapter4formatting.rule4842fallthrow.FallThroughInput:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
5,com.puppycrawl.tools.checkstyle.indentation.InputInvalidForIndent:method1,"('1.2207**n', '42.8487*1.0633**n + 7.0661*1.2207**n + 0.0001*n**8 + 0.0065*n**7 + 0.2698*n**6 + 5.6087*n**5 + 46.5763*n**4 + 6.3588*n**3 + 0.5098*n**2 + 0.1475*n + 0.0015')",12.0,1536
6,com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:isNotRelevantSituation,"(1620.00000000000, 1620.00000000000)",16.0,1620
7,com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck:visitToken,"(144.000000000000, 144.000000000000)",13.0,144
8,com.google.checkstyle.test.chapter4formatting.rule4842fallthrow.FallThroughInput:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
9,com.puppycrawl.tools.checkstyle.coding.InputFallThrough2:test,"(88.0000000000000, 88.0000000000000)",21.0,88
10,com.google.checkstyle.test.base.IndentationConfigurationBuilder:isCommentConsistent,"(22.0000000000000, 22.0000000000000)",16.0,22
11,com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle.CommentsIndentationInput:cases,"(119.000000000000, 119.000000000000)",23.0,119
12,com.puppycrawl.tools.checkstyle.comments.InputCommentsIndentationCheckSurroundingCode:cases,"(119.000000000000, 119.000000000000)",23.0,119
13,com.puppycrawl.tools.checkstyle.coding.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
14,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkComment,"('1.2207**n', '7.0529*0.7245**n + 4.6188*1.0**n + 2.7369*1.0633**n + 4.5514*1.2207**n + 8.0001*n + 52.0023')",11.0,112
15,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkThrowsTags,"('1.4542**n', '242.8291*0.7245**n + 0.1431*0.9142**n + 0.2194*0.9165**n + 0.0454*1.043**n + 0.0928*1.0633**n + 0.0559*1.0795**n + 0.0955*1.1354**n + 0.1549*1.2131**n + 0.1668*1.2204**n + 0.1035*1.2207**n + 0.1674*1.4542**n + 0.0028')",14.0,160
16,com.google.checkstyle.test.chapter5naming.rule527localvariablenames.InputOneCharInintVarName:fooMethod,"(0, 0)",13.0,4096
17,com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
18,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:calculateDistanceInSingleScope,"('1.3049**n', '0.025*1.0754**n + 0.4839*1.1651**n + 0.1767*1.1755**n + 0.0208*1.1888**n + 0.6033*1.3049**n + 0.7488')",13.0,24
19,com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
20,com.puppycrawl.tools.checkstyle.InputLeftCurlyLineBreakAfter:foo,"(n**4, '0.0625*n**4 + 2.2917*n**3 + 32.0*n**2 + 201.8333*n + 487.0')",12.0,98
21,com.puppycrawl.tools.checkstyle.indentation.InputValidForIndent:method1,"(n**8, '0.0012*n**8 + 0.0124*n**7 + 0.0013*n**6 + 0.0001*n**5')",15.0,12288
22,com.puppycrawl.tools.checkstyle.InputRightCurlyLineBreakBefore:foo,"(n**4, '0.0625*n**4 + 2.2917*n**3 + 32.0*n**2 + 201.8333*n + 487.0')",12.0,98
23,com.google.checkstyle.test.chapter4formatting.rule42blockindentaion.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
24,com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck:processFiltered,"('1.3338**n', '467.3772*0.5327**n + 1.5218*0.9273**n + 0.0634*1.1005**n + 0.2138*1.1624**n + 0.2149*1.3338**n + 1.666')",11.0,35
25,com.puppycrawl.tools.checkstyle.checks.imports.RedundantImportCheck:visitToken,"('1.2207**n', '3.5144*0.7245**n + 0.2203*1.0633**n + 1.3259*1.2207**n + 4.0')",10.0,16
26,com.puppycrawl.tools.checkstyle.comments.CompareTreesWithComments:isAstEquals,"(48.0000000000000, 48.0000000000000)",13.0,48
27,com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck:finishTree,"('1.3865**n', '19.8626*0.6214**n + 0.2629*0.7968**n + 0.1103*0.9684**n + 0.2053*1.1545**n + 0.0722*1.2095**n + 0.1099*1.3865**n + 0.8763')",11.0,11
28,com.puppycrawl.tools.checkstyle.grammars.InputJava7TryWithResources:main,"(15.0000000000000, 15.0000000000000)",15.0,15
29,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:checkHtmlTags,"('1.3803**n', '0.0629*0.9404**n + 0.0628*1.0**n + 0.04*1.0952**n + 0.2095*1.142**n + 0.1268*1.2109**n + 0.3958*1.3078**n + 0.481*1.3803**n + 0.168')",11.0,31
30,com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck:visitToken,"(22.0000000000000, 22.0000000000000)",9.0,22
31,com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck:visitToken,"(121.000000000000, 121.000000000000)",12.0,121
32,com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader:startElement,"(27.0000000000000, 27.0000000000000)",9.0,27
33,com.puppycrawl.tools.checkstyle.InputForWhitespace:method1,"(n**6, '0.0001*n**6 + 0.0025*n**5 + 0.0342*n**4 + 0.2525*n**3 + 0.875*n**2 + 0.8103*n + 0.1569')",8.0,128
34,com.puppycrawl.tools.checkstyle.InputBraces:testIf,"(144.000000000000, 144.000000000000)",9.0,144
35,com.google.checkstyle.test.chapter4formatting.rule411bracesareused.NeedBracesInput:testIf,"(144.000000000000, 144.000000000000)",9.0,144
36,com.puppycrawl.tools.checkstyle.TreeWalker:appendHiddenCommentNodes,"('1.4558**n', '0.3858*0.7811**n + 2.9059*0.8385**n + 0.0884*1.0**n + 0.0199*1.2654**n + 0.0577*1.4558**n + 0.1661*n + 2.1532')",10.0,75
37,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:calculateDistanceBetweenScopes,"('1.4342**n', '0.021*1.2907**n + 0.1015*1.3139**n + 0.0609*1.3682**n + 0.0436*1.4163**n + 0.1114*1.4342**n + 0.0774')",10.0,15
38,com.puppycrawl.tools.checkstyle.checks.imports.Guard:verifyImport,"(10.0000000000000, 10.0000000000000)",10.0,10
39,com.puppycrawl.tools.checkstyle.Checker:process,"('1.292**n', '1.1437*0.7246**n + 0.0546*1.1286**n + 0.3078*1.1571**n + 1.2949*1.292**n + 0.1246*n**2 + 0.2595*n + 0.9275')",8.0,40
40,com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheck:isIgnoreSituation,"(27.0000000000000, 27.0000000000000)",12.0,27
41,com.puppycrawl.tools.checkstyle.indentation.InputValidWhileIndent:method1,"(n**8, '0.0013*n**8 + 0.0256*n**7 + 0.2044*n**6 + 0.029*n**5 + 0.0024*n**4 + 0.0002*n**3')",15.0,9216
42,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:isInitializationSequence,"('1.3142**n', '0.3799*0.9318**n + 0.0586*1.1293**n + 0.3344*1.1762**n + 0.0258*1.221**n + 0.4585*1.3142**n + 0.4275')",11.0,11
43,com.puppycrawl.tools.checkstyle.checks.javadoc.TagParser:parseTags,"('1.3291**n', '0.0281*1.1173**n + 0.0456*1.1297**n + 0.0547*1.1479**n + 0.1299*1.1772**n + 0.0814*1.2213**n + 0.0727*1.2449**n + 0.1709*1.3291**n + 0.0766')",8.0,15
44,com.puppycrawl.tools.checkstyle.doclets.TokenTypesDoclet:start,"('1.4036**n', '33.5715*0.793**n + 0.1441*1.0644**n + 0.1468*1.4036**n + 3.4529')",12.0,17
45,com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest:isCommentConsistent,"(16.0000000000000, 16.0000000000000)",12.0,16
46,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkParamTags,"('1.4196**n', '2.2245*0.7044**n + 0.6522*0.8815**n + 0.5878*1.0**n + 0.2514*1.1344**n + 0.2762*1.4196**n + 0.0207*n**2 + 0.0778*n + 0.7611')",10.0,48
47,com.puppycrawl.tools.checkstyle.indentation.FooWhileClass:fooMethodWithIf,"('1.998**n', '0.0212*0.8443**n + 0.0326*0.89**n + 0.2485*0.8961**n + 0.042*0.8996**n + 0.1476*0.9211**n + 0.2927*0.946**n + 2.03*0.9593**n + 0.3928*0.9887**n + 0.0007*1.997**n + 0.0007*1.998**n + 0.012*n**2 + 0.309*n + 0.142')",21.0,16
48,com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:processField,"(108.000000000000, 108.000000000000)",11.0,108
49,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:shouldCheck,"(38.0000000000000, 38.0000000000000)",12.0,38
50,com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder:isSuppressed,"('1.4671**n', '0.251*0.8987**n + 0.2664*0.9674**n + 0.1367*1.005**n + 0.1418*1.1149**n + 0.1184*1.2102**n + 0.1283*1.4005**n + 0.1025*1.4671**n + 0.3629')",11.0,65
51,com.puppycrawl.tools.checkstyle.InputLeftCurlyOther:foo,"(n**2, '3.0*n**2 + 46.0*n + 183.0')",10.0,49
