,graph_name,apc,cyclo,npath
0,com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck:visitToken,"(1342.00000000000, 1342.00000000000)",26.0,1342.0
1,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck:visitToken,"(33.0000000000000, 33.0000000000000)",21.0,33.0
2,com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:processIDENT,"(33.0000000000000, 33.0000000000000)",22.0,33.0
3,com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:visitToken,"(3433.00000000000, 3433.00000000000)",30.0,3433.0
4,com.puppycrawl.tools.checkstyle.checks.whitespace.GenericWhitespaceCheck:processEnd,"(140.000000000000, 140.000000000000)",23.0,140.0
5,com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder:visitToken,"('1.2207**n', '65.9787*0.7245**n + 2.0621*1.0633**n + 11.1371*1.2207**n + 13.9971')",18.0,974.0
6,com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck:visitToken,"('1.3479**n', '0.112*1.0197**n + 0.1625*1.0837**n + 0.0555*1.1946**n + 0.0548*1.305**n + 0.13*1.3479**n + 4.4998*n + 47.5856')",12.0,28.0
7,com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck:getIllegalInstantiation,"('1.5059**n', '6.77*0.6884**n + 44002.4612*0.8182**n + 593.4207*0.8874**n + 187.5532*0.9204**n + 7.3653*1.0245**n + 1.1012*1.0407**n + 0.8094*1.0725**n + 1.2436*1.0833**n + 0.4783*1.1176**n + 0.2207*1.5059**n + 10.8582')",21.0,584.0
8,com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck:visitToken,"('1.2207**n', '6.513*0.7245**n + 1.2388*0.8515**n + 0.1283*1.0**n*n + 1.5295*1.0**n + 0.1236*1.0196**n + 0.2427*1.0633**n + 0.3243*1.092**n + 3.4707*1.1128**n + 0.3967*1.2207**n + 0.2222*n**2 + 3.1112*n + 5.4825')",18.0,26.0
9,com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck:visitToken,"(43.0000000000000, 43.0000000000000)",26.0,43.0
10,com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck:verifyBrace,"(62.0000000000000, 62.0000000000000)",16.0,62.0
11,com.puppycrawl.tools.checkstyle.checks.coding.AbstractSuperCheck:isSuperCall,"(n, '0.6805*1.0**n + 2.4*n + 9.0')",16.0,36.0
12,com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader:startElement,"(55.0000000000000, 55.0000000000000)",13.0,55.0
13,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck:visitToken,"('1.2207**n', '3.0706*0.7245**n + 0.5949*1.0633**n + 0.6394*1.2207**n + 1.0001')",16.0,35.0
14,com.puppycrawl.tools.checkstyle.checks.imports.Guard:verifyImport,"(39.0000000000000, 39.0000000000000)",14.0,39.0
15,com.puppycrawl.tools.checkstyle.filters.SuppressElement:equals,"(48.0000000000000, 48.0000000000000)",15.0,48.0
16,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocUtils:getJavadocTags,"('1.5311**n', '3.7203*0.8934**n + 0.6883*0.9729**n + 0.0497*1.0476**n + 0.072*1.0662**n + 0.088*1.206**n + 0.0655*1.248**n + 0.0714*1.3193**n + 0.1042*1.3228**n + 0.0381*1.5311**n + 1.5094')",15.0,92.0
17,com.puppycrawl.tools.checkstyle.Checker:normalize,"('1.3471**n', '40.0798*0.9591**n + 0.455*1.0633**n + 0.2266*1.1437**n + 0.1675*1.1584**n + 0.0012*1.1703**n + 3.6203*1.2207**n + 11.6347*1.2786**n + 6.5954*1.3471**n + 79.6802*n + 3617.0137')",30.0,24808.0
18,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:calculateDistanceBetweenScopes,"('1.5025**n', '0.7125*0.8786**n + 0.0681*1.1928**n + 0.0062*1.2643**n + 0.1478*1.2739**n + 0.0586*1.2971**n + 0.0398*1.3605**n + 0.0417*1.5025**n + 0.0602')",16.0,99.0
19,com.puppycrawl.tools.checkstyle.checks.ClassResolver:resolve,"('1.2207**n', '0.7743*0.7245**n*n + 6.0479*0.7245**n + 0.0811*1.0633**n*n + 1.4529*1.0633**n + 0.4924*1.2207**n*n + 4.7324*1.2207**n + 7.0007')",13.0,89.0
20,com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck:visitToken,"(274.000000000000, 274.000000000000)",16.0,274.0
21,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkComment,"('1.2207**n', '7.0529*0.7245**n + 4.6188*1.0**n + 2.7369*1.0633**n + 4.5514*1.2207**n + 8.0001*n + 52.0023')",11.0,112.0
22,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:getMethodTags,"('1.4592**n', '0.0002*0.633**n + 6.2803*0.8192**n + 6.5685*0.8427**n + 0.2482*0.9404**n + 0.1302*0.9802**n + 0.0791*0.9976**n + 0.0072*1.0**n + 0.0737*1.1698**n + 0.183*1.2189**n + 0.1822*1.239**n + 0.0505*1.4592**n + 0.1801')",20.0,28.0
23,com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck:processFiltered,"('1.3338**n', '15881.6497*0.5327**n + 0.8177*0.9273**n + 0.2223*1.0**n + 0.1343*1.1005**n + 0.1319*1.1624**n + 0.3715*1.3338**n + 0.2209*n + 0.9296')",13.0,69.0
24,com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck:visitToken,"('1.6196**n', '2.2377*0.7458**n + 8.9138*0.7586**n + 1094.9089*0.8617**n + 236.1351*0.9277**n + 8.2201*0.9996**n + 0.2111*1.1255**n + 0.0682*1.4332**n + 0.0243*1.6196**n + 31.5584')",22.0,9241.0
25,com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck:visitToken,"(26.0000000000000, 26.0000000000000)",19.0,26.0
26,com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck:visitToken,"(52.0000000000000, 52.0000000000000)",15.0,52.0
27,com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck:visitToken,"(24.0000000000000, 24.0000000000000)",10.0,24.0
28,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:calculateDistanceInSingleScope,"('1.3049**n', '0.025*1.0754**n + 0.4839*1.1651**n + 0.1767*1.1755**n + 0.0208*1.1888**n + 0.6033*1.3049**n + 0.7488')",13.0,24.0
29,com.puppycrawl.tools.checkstyle.CheckStyleTask:realExecute,"(53.0000000000000, 53.0000000000000)",12.0,53.0
30,com.puppycrawl.tools.checkstyle.comments.CompareTreesWithComments:isAstEquals,"(48.0000000000000, 48.0000000000000)",13.0,48.0
31,com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck:finishTree,"('1.4433**n', '1.0073*0.8915**n + 0.486*0.9336**n + 0.5065*1.0**n + 0.0883*1.4433**n + 0.9923')",13.0,13.0
32,com.puppycrawl.tools.checkstyle.checks.annotation.MissingDeprecatedCheck:containsJavadocTag,"('1.4435**n', '3.3141*0.7166**n + 0.3126*0.8626**n + 0.0826*0.9164**n + 0.0714*1.0863**n + 0.2209*1.1096**n + 0.0161*1.1781**n + 0.0348*1.1831**n + 0.3518*1.1908**n + 0.0354*1.4435**n + 0.4566')",12.0,13.0
33,com.puppycrawl.tools.checkstyle.TreeWalker:appendHiddenCommentNodes,"('1.4558**n', '0.3858*0.7811**n + 2.9059*0.8385**n + 0.0884*1.0**n + 0.0199*1.2654**n + 0.0577*1.4558**n + 0.1661*n + 2.1532')",10.0,75.0
34,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:isInitializationSequence,"('1.3227**n', '0.0371*0.827**n + 0.2947*0.9232**n + 0.0298*0.9954**n + 0.0251*1.183**n + 0.2726*1.216**n + 0.024*1.2652**n + 0.4293*1.3227**n + 0.3755')",12.0,12.0
35,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:shouldCheck,"(50.0000000000000, 50.0000000000000)",12.0,50.0
36,com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder:isSuppressed,"('1.4671**n', '0.3107*0.8987**n + 0.2846*0.9674**n + 0.1354*1.005**n + 0.1141*1.1149**n + 0.0808*1.2102**n + 0.0654*1.4005**n + 0.0476*1.4671**n + 1.6371')",13.0,67.0
37,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkThrowsTags,"('1.4894**n', '4.7304*0.951**n + 1.2894*1.0157**n + 0.3608*1.029**n + 0.8727*1.0305**n + 0.4298*1.0341**n + 0.1833*1.0633**n + 0.0413*1.1948**n + 0.0044*1.2207**n + 0.3266*1.2274**n + 0.0767*1.4894**n + 10.9704')",19.0,1010.0
38,com.puppycrawl.tools.checkstyle.checks.naming.ConstantNameCheck:mustCheckName,"(306.000000000000, 306.000000000000)",14.0,306.0
39,com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheck:isIgnoreSituation,"(27.0000000000000, 27.0000000000000)",12.0,27.0
