,file_name,graph_name,apc,cyclo,npath,apc_time,vertex_count,edge_count,exception,exception_type
0,/app/code/experiments/icse_experiment/files/04_prime.c,04_prime_cfg._Z11check_primei,"(n, '1.0*n + 1.0')",4.0,4.0,0.29743194580078125,5.0,7.0,0.0,na
1,/app/code/experiments/icse_experiment/files/05_parity.c,05_parity_cfg._Z6parityi,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.004345417022705078,3.0,2.0,0.0,na
2,/app/code/experiments/icse_experiment/files/03_sign.c,03_sign_cfg._Z4signi,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.003720998764038086,3.0,2.0,0.0,na
3,/app/code/experiments/icse_experiment/files/01_greatestof3.c,01_greatestof3_cfg._Z11greatestof3iii,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.0038640499114990234,3.0,2.0,0.0,na
4,/app/code/experiments/icse_experiment/files/04_prime.c,04_prime_cfg._Z11check_primei,"(n, '1.0*n + 1.0')",4.0,4.0,0.023696422576904297,5.0,7.0,0.0,na
5,/app/code/experiments/icse_experiment/files/14_lexicographic_array_compare.c,14_lexicographic_array_compare_cfg._Z14compare_arraysPiS_i,"(n, '1.0*n + 1.0')",5.0,5.0,0.09501004219055176,6.0,9.0,0.0,na
6,/app/code/experiments/icse_experiment/files/12_check_sorted_array.c,12_check_sorted_array_cfg._Z9is_sortedPii,"(n, '1.0*n + 1.0')",4.0,4.0,0.02454400062561035,5.0,7.0,0.0,na
7,/app/code/experiments/icse_experiment/files/13_check_arrays_equal.c,13_check_arrays_equal_cfg._Z12equal_arraysPiS_i,"(n, '1.0*n + 1.0')",4.0,4.0,0.02520751953125,5.0,7.0,0.0,na
8,/app/code/experiments/icse_experiment/files/10_find_val_in_array.c,10_find_val_in_array_cfg._Z10find_firstiPii,"(n, '1.0*n + 2.0')",4.0,4.0,0.05215740203857422,6.0,8.0,0.0,na
9,/app/code/experiments/icse_experiment/files/15_check_heap_order.c,15_check_heap_order_cfg._Z13is_heap_orderPii,"(n, '1.0*n + 1.0')",5.0,5.0,0.04391622543334961,6.0,9.0,0.0,na
10,/app/code/experiments/icse_experiment/files/50_check_sorted_or_reverse.c,50_check_sorted_or_reverse_cfg._Z20is_sorted_or_reversePii,"(n**2, '1.0*n**2 + 10.0*n + 28.0')",8.0,25.0,0.21253156661987305,11.0,17.0,0.0,na
11,/app/code/experiments/icse_experiment/files/63_three_loops_symbolic_bounds.c,63_three_loops_symbolic_bounds_cfg._Z18three_loops_boundsiii,"(n**2, '3.5*n**2 + 50.5*n + 202.0')",7.0,9.0,0.16895079612731934,10.0,15.0,0.0,na
12,/app/code/experiments/icse_experiment/files/62_three_loops_w_break.c,62_three_loops_w_break_cfg._Z11three_loopsiiii,"(n**3, '0.1667*n**3 + 3.0*n**2 + 19.8333*n + 44.0')",7.0,15.0,0.20872807502746582,12.0,17.0,0.0,na
13,/app/code/experiments/icse_experiment/files/11_array_max.c,11_array_max_cfg._Z15largest_elementPii,"(n**2, '0.5*n**2 + 3.5*n + 9.0')",6.0,9.0,0.10087156295776367,8.0,12.0,0.0,na
14,/app/code/experiments/icse_experiment/files/30_euclid_GCD.c,30_euclid_GCD_cfg._Z3gcdii,"(n, '1.0*n + 1.0')",3.0,3.0,0.024452924728393555,4.0,5.0,0.0,na
15,/app/code/experiments/icse_experiment/files/16_binary_search.c,16_binary_search_cfg._Z13binary_searchiPii,"('1.3532**n', '0.3436*1.2157**n + 0.8165*1.3532**n + 1.0')",6.0,10.0,0.2877180576324463,9.0,13.0,0.0,na
16,/app/code/experiments/icse_experiment/files/20_bubblesort.c,20_bubblesort_cfg._Z11bubble_sortPll,"('1.8313**n', '539324.1054*0.6976**n + 24398.3159*0.8103**n + 1670.2777*0.9367**n + 8107.8247*1.0211**n + 4.9409*1.2381**n + 1.5751*1.2444**n + 0.0031*1.8313**n + 11489.0212')",10.0,8.0,1.2599327564239502,15.0,23.0,0.0,na
