,graph_name,rapc,rapc_time
0,lcs_cfg.lcsbuild,"(0.229931454099061*1.30793010592743**n, -0.0102080731268145*0.875367813846992**n + 0.60000000002046*1.0**n + 1.03550332100372**n*(0.0362515413161226 - 0.0689674992288225*I) + 1.03550332100372**n*(0.0362515413161226 + 0.0689674992288225*I) + 1.07133247893444**n*(-0.031119031873605 - 0.0145940921139463*I) + 1.07133247893444**n*(-0.031119031873605 + 0.0145940921139463*I) + 1.19138375796956**n*(0.0850057999925262 - 0.0451443551840377*I) + 1.19138375796956**n*(0.0850057999925262 + 0.0451443551840377*I) + 0.229931454099061*1.30793010592743**n)",2.8338005542755127
1,cantor_set_cfg.main,"(0.666666666666667*n, 0.666666666666667*n + 2.0)",0.5727846622467041
2,lerp_cfg.main,"(0.333333333333333*n, 0.333333333333333*n)",0.2388441562652588
