,graph_name,apc,apc_time
0,partition_cfg._Z4swapPiS_,"(1.00000000000000, 1.00000000000000)",0.022338151931762695
1,partition_cfg._Z9partitionPiii,"('1.1673**n', '1.1477*1.1673**n')",0.3525121212005615
