,graph_name,fcapc,fcapc_time
0,digits_squaring_f2f_cfg._Z9factoriali,"(n/3, n/3)",1.3380193710327148
1,digits_squaring_f2f_cfg._Z17sum_square_digitsj,"(n/2, n/2 - 1)",0.09516024589538574
2,digits_squaring_f2f_cfg._Z23choose_sum_and_count_89PiiiiiS_,na,0.0
