,graph_name,apc,apc_time
0,bst_cfg._Z8new_nodei,"(1.00000000000000, 1.00000000000000)",0.03037405014038086
1,bst_cfg._Z6searchP4nodei,"(4.00000000000000, 4.00000000000000)",0.008900642395019531
2,bst_cfg._Z6insertP4nodei,"(3.00000000000000, 3.00000000000000)",0.007277965545654297
3,bst_cfg._Z7inorderP4node,"(2.00000000000000, 2.00000000000000)",0.003498077392578125
4,bst_cfg._Z12find_minimumP4node,"(3.00000000000000, 3.00000000000000)",0.0055577754974365234
5,bst_cfg._Z7delete_P4nodei,"(14.0000000000000, 14.0000000000000)",0.07022929191589355
6,bst_cfg.main,"(1.00000000000000, 1.00000000000000)",0.003201723098754883
