
Mathematica cannot find a valid password.

For automatic Web Activation enter your activation key
(enter return to skip Web Activation): 
Automatic Web Activation received a password.

Creating password file entry in
/home/gabe/.Mathematica/Licensing/mathpass.

test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
15,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_size_0_basic.dot,1,1,Constant,1.,1.
16,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_toString_0_basic.dot,2,2,Constant,2.,2.
17,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_values_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
18,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_equals_0_basic.dot,6,6,Constant,6.,6.
19,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_getKey_0_basic.dot,1,1,Constant,1.,1.
20,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_getValue_0_basic.dot,1,1,Constant,1.,1.
21,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_hashCode_0_basic.dot,2,2,Constant,2.,2.
22,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_<init>_0_basic.dot,1,1,Constant,1.,1.
23,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_setValue_0_basic.dot,1,1,Constant,1.,1.
24,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_contains_0_basic.dot,3,3,Constant,3.,3.
25,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_get_0_basic.dot,3,3,Constant,3.,3.
26,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_getDynaClass_0_basic.dot,1,1,Constant,1.,1.
27,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_getDynaProperty_0_basic.dot,2,2,Constant,2.,2.
28,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_getMap_0_basic.dot,2,2,Constant,2.,2.
29,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_<init>_0_basic.dot,1,1,Constant,1.,1.
30,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_isAssignable_0_basic.dot,18,512,Constant,512.,512.
31,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_remove_0_basic.dot,3,3,Constant,3.,3.
32,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_set_0_basic.dot,3,3,Constant,3.,3.
33,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_<clinit>_0_basic.dot,1,1,Constant,1.,1.
34,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getDynaBeanClass_0_basic.dot,1,1,Constant,1.,1.
35,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getDynaProperties_0_basic.dot,1,1,Constant,1.,1.
36,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getDynaProperty_0_basic.dot,2,2,Constant,2.,2.
37,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_getName_0_basic.dot,1,1,Constant,1.,1.
38,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_<init>_0_basic.dot,4,8,Constant,8.,8.
39,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_newInstance_0_basic.dot,3,3,Constant,3.,3.
40,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_setDynaBeanClass_0_basic.dot,4,4,Constant,4.,4.
41,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaClass_setProperties_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
42,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanAccessLanguageException_<init>_0_basic.dot,1,1,Constant,1.,1.
43,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_compare_0_basic.dot,5,5,Constant,5.,5.
44,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_equals_0_basic.dot,7,7,Constant,7.,7.
45,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_getComparator_0_basic.dot,1,1,Constant,1.,1.
46,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_getProperty_0_basic.dot,1,1,Constant,1.,1.
47,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_hashCode_0_basic.dot,1,1,Constant,1.,1.
48,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_<init>_0_basic.dot,2,2,Constant,2.,2.
49,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_internalCompare_0_basic.dot,1,1,Constant,1.,1.
50,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanComparator_setProperty_0_basic.dot,1,1,Constant,1.,1.
51,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_getDescriptor_0_basic.dot,3,3,Polynomial,0.67*n,3.38 + 0.67*n
52,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_getDescriptors_0_basic.dot,1,1,Constant,1.,1.
53,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_getWriteMethod_0_basic.dot,5,5,Constant,5.,5.
54,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_<init>_0_basic.dot,1,1,Constant,1.,1.
