,file_name,graph_name,graph_name_clean,apc,rapc,brapc,cyclo,npath,apc_time,rapc_time,brapc_time,num_vertices,edge_count,exception,exception_type
4,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z13ackermann_recii,ackermann_recii,"(3.00000000000000, 3.00000000000000)","(1.35025405883789**n, 1.35025405883789**n)","('2.2695**n', '0.1211*2.2695**n')",3,3,0.005520821,0.492205858,0.216249704,6,7,,na
18,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z18binary_search_iterPiii,binary_search_iterPiii,"('1.1487**n', '2.3564*1.1487**n + 2.0')","(2.0**(0.2*n), 2**(n/5)*(0.0147154820210295 - 0.0351987768463507*I) + 2**(n/5)*(0.155347204341861 - 0.0264997085045692*I) + 2**(n/5)*(1.65987462727422 + 1.29246970711411e-26*I) + 2**(n/5)*(0.155347204341861 + 0.0264997085045692*I) + 2**(n/5)*(0.0147154820210295 + 0.0351987768463507*I) - 2.0 - 1.28963045929598e-46*I)","('1.1487**n', '2.3564*1.1487**n + 2.0')",4,4,0.09815836,201.1502864,0.27092886,10,12,,na
5,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z17binary_search_recPiii,binary_search_recPiii,"(4.00000000000000, 4.00000000000000)","(2.0**(0.2*n), 2**(n/5)*(0.0840935032495789 - 0.160306726096732*I) + 2**(n/5)*(-0.0374411301751847 - 0.0227750875980178*I) + 2**(n/5)*(1.90669525385121 + 1.48465782644547e-26*I) + 2**(n/5)*(-0.0374411301751847 + 0.0227750875980178*I) + 2**(n/5)*(0.0840935032495789 + 0.160306726096732*I) - 2.0 - 1.05266558545919e-46*I)","('2.2447**n', '0.0659*2.2447**n')",4,4,0.012060881,201.0751619,0.385619402,8,10,,na
2,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z11bubble_sortPii,bubble_sortPii,"('1.2672**n', '0.1441*1.0419**n + 0.0994*1.2058**n + 0.196*1.2672**n + 0.5')","(0.154694083785227*1.26716804504395**n, 0.49999903823278*1.0**n + 1.0419**n*(-0.0355900507255436 - 0.0592864645755534*I) + 1.0419**n*(-0.0355900507255436 + 0.0592864645755534*I) + 1.2058**n*(0.0207407566436702 - 0.0356139543987818*I) + 1.2058**n*(0.0207407566436702 + 0.0356139543987818*I) + 0.154694083785227*1.2672**n)","('1.2672**n', '0.1441*1.0419**n + 0.0994*1.2058**n + 0.196*1.2672**n + 0.5')",4,4,0.223091841,1.853034973,0.543971062,11,13,,na
25,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z16dot_product_iterPiS_i,dot_product_iterPiS_i,"(n, '0.3333*n')","(0.333333333333333*n, n/3)","(n, '0.3333*n')",2,2,0.039915562,0.600553989,0.081211567,5,5,,na
12,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z9fact_iteri,fact_iteri,"(n, '0.3333*n')","(0.333333333333333*n, n/3)","(n, '0.3333*n')",2,2,0.044211864,0.612970829,0.086817265,5,5,,na
16,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z8fact_reci,fact_reci,"(2.00000000000000, 2.00000000000000)","(0.333333333333333*n, n/3)","('1.9144**n', '31.6056*0.6168**n + 0.5551*1.3731**n + 0.2307*1.9144**n')",2,2,0.00411582,0.497755766,0.103409052,4,4,,na
27,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z8fib_iteri,fib_iteri,"(n, '0.3333*n')","(0.333333333333333*n, n/3)","(n, '0.3333*n')",2,2,0.042886496,0.697511435,0.08891654,5,5,,na
15,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z7fib_reci,fib_reci,"(2.00000000000000, 2.00000000000000)","(1.25992202758789**n, 1.25992202758789**n)","('1.9144**n', '31.6056*0.6168**n + 0.5551*1.3731**n + 0.2307*1.9144**n')",2,2,0.003638029,0.18265748,0.139151573,4,4,,na
9,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z13insertionSortPii,insertionSortPii,"('1.3484**n', '0.1906*0.8072**n + 0.6019*0.9003**n + 0.0832*1.185**n + 0.1436*1.3484**n + 0.3333')","(0.106457485438837*1.34844779968262**n, 0.80721**n*(-0.100589311346375 - 0.0626361477930866*I) + 0.80721**n*(-0.100589311346375 + 0.0626361477930866*I) + 0.90031**n*(-0.151037414703583 - 0.298223116274472*I) + 0.90031**n*(-0.151037414703583 + 0.298223116274472*I) + 0.333559697323226*1.0**n + 1.185**n*(0.0314086412760119 - 0.0161522361192947*I) + 1.185**n*(0.0314086412760119 + 0.0161522361192947*I) + 0.106457485438837*1.3484**n)","('1.3484**n', '0.1906*0.8072**n + 0.6019*0.9003**n + 0.0832*1.185**n + 0.1436*1.3484**n + 0.3333')",4,5,0.270501137,3.020419836,0.719250679,10,12,,na
24,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z18linear_search_iterPiii,linear_search_iterPiii,"(n, '0.5039*n + 1.125')","(0.5*n, n/2 - 1)","(n, '0.5039*n + 1.125')",3,3,0.042476416,0.437826395,0.069905043,8,9,,na
11,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z17linear_search_recPiii,linear_search_recPiii,"(3.00000000000000, 3.00000000000000)","(0.5*n, n/2)","('1.8885**n', '0.1342*1.8885**n')",3,3,0.009270906,0.437583685,0.345633745,6,7,,na
1,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z26longest_common_subsequencePcS_ii,longest_common_subsequencePcS_ii,"('1.3079**n', '1.5353*0.8424**n + 0.0001*0.8754**n + 0.2477*0.913**n + 0.0007*1.0**n + 0.1071*1.0355**n + 0.0896*1.0713**n + 0.1144*1.0865**n + 0.0699*1.1161**n + 0.0455*1.1914**n + 0.0166*1.1939**n + 0.0076*1.2336**n + 1.1476*1.2657**n + 0.887*1.3079**n + 0.0022*n + 0.3364')","(0.678769132912786*1.30792999267578**n, 0.84238**n*(0.221678909705218 - 0.422490233117302*I) + 0.84238**n*(0.221678909705218 + 0.422490233117302*I) - 0.0606253570536413*0.87537**n + 0.91297**n*(0.26486235977516 - 0.225508433514211*I) + 0.91297**n*(0.26486235977516 + 0.225508433514211*I) + 0.23606529606217*1.0**n + 1.0355**n*(0.0488220195607131 - 0.0401137106927946*I) + 1.0355**n*(0.0488220195607131 + 0.0401137106927946*I) + 1.0713**n*(-0.0179717774138605 - 0.0417421312632975*I) + 1.0713**n*(-0.0179717774138605 + 0.0417421312632975*I) + 1.0865**n*(0.00410442647362906 - 0.048374902037641*I) + 1.0865**n*(0.00410442647362906 + 0.048374902037641*I) + 1.1161**n*(0.0203801219018511 - 0.0213128781242804*I) + 1.1161**n*(0.0203801219018511 + 0.0213128781242804*I) + 1.1914**n*(-0.0174401891310275 - 0.0093610138951292*I) + 1.1914**n*(-0.0174401891310275 + 0.0093610138951292*I) + 0.0193075624534519*1.1939**n + 1.2336**n*(-0.00258572490718951 - 0.00150486875471106*I) + 1.2336**n*(-0.00258572490718951 + 0.00150486875471106*I) - 0.909198778054108*1.2657**n + 0.678769132912786*1.3079**n)","('1.3079**n', '1.5353*0.8424**n + 0.0001*0.8754**n + 0.2477*0.913**n + 0.0007*1.0**n + 0.1071*1.0355**n + 0.0896*1.0713**n + 0.1144*1.0865**n + 0.0699*1.1161**n + 0.0455*1.1914**n + 0.0166*1.1939**n + 0.0076*1.2336**n + 1.1476*1.2657**n + 0.887*1.3079**n + 0.0022*n + 0.3364')",12,240,7.156340837,104.2547929,8.791906834,38,48,,na
19,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z24longest_common_substringPcS_ii,longest_common_substringPcS_ii,"('1.277**n', '2073.951*0.6836**n + 1.3481*0.7781**n + 0.7103*0.8424**n + 0.3624*0.9682**n + 0.0012*1.0**n + 0.2705*1.0865**n + 0.0616*1.0952**n + 0.1526*1.0992**n + 3.3425*1.1347**n + 0.1005*1.182**n + 0.4316*1.1939**n + 0.7221*1.277**n + 0.0049*n + 2.5556')","(0.565108207481745*1.27702713012695**n, 0.68359**n*(1.28177011571523 - 1.83432745684995*I) + 0.68359**n*(1.28177011571523 + 1.83432745684995*I) + 0.226930775457608*0.77809**n + 0.84238**n*(0.000460129253854598 - 0.0925555289374977*I) + 0.84238**n*(0.000460129253854598 + 0.0925555289374977*I) + 0.96822**n*(0.0254832347479044 - 0.155372944541577*I) + 0.96822**n*(0.0254832347479044 + 0.155372944541577*I) + 2.68026651911578*1.0**n + 1.0865**n*(0.0268873715679594 - 0.120481344554286*I) + 1.0865**n*(0.0268873715679594 + 0.120481344554286*I) + 1.0952**n*(-0.027751061016942 - 0.00447151255948563*I) + 1.0952**n*(-0.027751061016942 + 0.00447151255948563*I) + 1.0992**n*(-0.0439235425880741 - 0.0591650689712886*I) + 1.0992**n*(-0.0439235425880741 + 0.0591650689712886*I) - 2.95135489355036*1.1347**n + 1.182**n*(0.0414573498857578 - 0.013001963030684*I) + 1.182**n*(0.0414573498857578 + 0.013001963030684*I) + 0.364811448667368*1.1939**n + 0.565108207481745*1.277**n)","('1.277**n', '2073.951*0.6836**n + 1.3481*0.7781**n + 0.7103*0.8424**n + 0.3624*0.9682**n + 0.0012*1.0**n + 0.2705*1.0865**n + 0.0616*1.0952**n + 0.1526*1.0992**n + 3.3425*1.1347**n + 0.1005*1.182**n + 0.4316*1.1939**n + 0.7221*1.277**n + 0.0049*n + 2.5556')",11,180,4.760257244,69.38929749,6.125791311,34,43,,na
26,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z19matrix_product_iterPiS_i,matrix_product_iterPiS_i,"('1.2499**n', '1.0397*0.7549**n + 0.2443*0.8155**n + 0.204*1.0969**n + 0.0938*1.151**n + 0.1475*1.2499**n + 1.0')","(0.118040984937391*1.24985313415527**n, -1.37662190266353*0.75488**n + 0.81549**n*(0.0867833136567263 - 0.122144566085463*I) + 0.81549**n*(0.0867833136567263 + 0.122144566085463*I) + 0.999922494019542*1.0**n + 1.0969**n*(0.0120848893558662 - 0.0921950175494254*I) + 1.0969**n*(0.0120848893558662 + 0.0921950175494254*I) + 1.151**n*(0.030518760548137 - 0.0270304848159903*I) + 1.151**n*(0.030518760548137 + 0.0270304848159903*I) + 0.118040984937391*1.2499**n)","('1.2499**n', '1.0397*0.7549**n + 0.2443*0.8155**n + 0.204*1.0969**n + 0.0938*1.151**n + 0.1475*1.2499**n + 1.0')",4,4,0.405794382,3.422451973,0.978678226,13,15,,na
23,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z14max_value_iterPii,max_value_iterPii,"('1.1673**n', '0.2991*1.099**n + 1.1477*1.1673**n + 1.0')","(0.983251862756996*1.16730308532715**n, 0.84219**n*(-0.0214599832606485 - 0.137219705858447*I) + 0.84219**n*(-0.0214599832606485 + 0.137219705858447*I) - 0.999944870731144*1.0**n + 1.099**n*(0.0298839318563982 - 0.132698522888107*I) + 1.099**n*(0.0298839318563982 + 0.132698522888107*I) + 0.983251862756996*1.1673**n)","('1.1673**n', '0.2991*1.099**n + 1.1477*1.1673**n + 1.0')",3,3,0.146645546,1.747517824,0.475244999,7,8,,na
13,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z13max_value_recPii,max_value_recPii,"(3.00000000000000, 3.00000000000000)","(1.35025405883789**n, 1.35025405883789**n)","('1.9276**n', '0.1849*1.9276**n')",3,3,0.007108212,0.477657795,0.364834785,6,7,,na
22,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z9mergeSortPii,mergeSortPii,"('1.2885**n', '0.1247*0.833**n + 0.0741*1.0**n + 0.0553*1.0939**n + 0.0143*1.2479**n + 1.0651*1.2885**n + 0.0093*n**3 + 0.0043*n**2 + 0.324*n + 0.1776')",na,"('1.5799**n', '495043.0734*0.7625**n + 979388.8616*0.7859**n + 541855.0869*0.821**n + 526.0922*0.9836**n + 19.2892*1.1091**n + 467.0949*1.1189**n + 0.3324*1.2442**n + 2.1166*1.3349**n + 0.0111*1.5799**n + 8303.0439')",8,49,2.234894991,0,3.906706333,22,28,,Timeout
